weil_QX  EXPLORATORY - no prereg, no decision rule, no verdict.
generated 2026-09-02T04:32:00Z  code_version efd29b6a895c0e21
total = pole - prime + arch = sum_rho Fhat(rho); Z_N = 2 sum_{k<=N} Ghat(gamma_k)^2

family: triangle
       X        L             pole            prime           arch         total           Z_N    resid_N    tail_N        Z_file    resid_f    tail_f sign dominant
       2   0.6931       0.97056275       0.00000000    -0.84345158    0.12711117    0.12521812   1.89e-03  1.77e-03    0.12701875   9.24e-05  8.83e-05    +     pole
       3   1.0986       2.47520861       0.39746047    -1.94335640    0.13439174    0.13246248   1.93e-03  1.77e-03    0.13429809   9.36e-05  8.83e-05    +     pole
       5   1.6094       5.46625258       1.70088992    -3.63103625    0.13432642    0.13237466   1.95e-03  1.77e-03    0.13423205   9.44e-05  8.83e-05    +     pole
      10   2.3026      11.82804341       5.44910741    -6.30208208    0.07685392    0.07508548   1.77e-03  1.77e-03    0.07676567   8.83e-05  8.83e-05    +     pole
      20   2.9957      21.56594202      12.20048393    -9.28399208    0.08146601    0.07969698   1.77e-03  1.77e-03    0.08137776   8.83e-05  8.83e-05    +     pole
      50   3.9120      41.69991334      28.07046981   -13.54882950    0.08061403    0.07884596   1.77e-03  1.77e-03    0.08052578   8.83e-05  8.83e-05    +     pole
     100   4.6052      64.80000000      47.74316619   -16.94115754    0.11567627    0.11390648   1.77e-03  1.77e-03    0.11558801   8.83e-05  8.83e-05    +     pole
    1000   6.9078     237.23519503     208.35929125   -28.76404602    0.11185776    0.11009510   1.76e-03  1.77e-03    0.11176949   8.83e-05  8.83e-05    +     pole
   10000   9.2103     784.08000000     743.02483096   -40.96097325    0.09419578    0.09244089   1.75e-03  1.77e-03    0.09410753   8.83e-05  8.83e-05    +     pole

family: bump
       X        L             pole            prime           arch         total           Z_N    resid_N    tail_N        Z_file    resid_f    tail_f sign dominant
       2   0.6931       0.04758127       0.00000000    -0.04713169    0.00044958    0.00044958   5.42e-20  5.32e-31    0.00044958   5.42e-20  5.32e-31    +     pole
       3   1.0986       0.12038937       0.00633382    -0.11354448    0.00051107    0.00051107   7.59e-19  1.39e-31    0.00051107   7.59e-19  1.39e-31    +     pole
       5   1.6094       0.26191982       0.04540646    -0.21632600    0.00018735    0.00018735   1.36e-19  2.19e-31    0.00018735   1.36e-19  2.19e-31    +     pole
      10   2.3026       0.55058301       0.16994424    -0.38063242    0.00000635    0.00000635  -3.30e-20  8.48e-32    0.00000635  -3.30e-20  8.48e-32    +     pole
      20   2.9957       0.96604723       0.39950690    -0.56651489    0.00002543    0.00002543  -1.80e-19  1.19e-34    0.00002543  -1.80e-19  1.19e-34    +     pole
      50   3.9120       1.75184041       0.91486102    -0.83697520    0.00000419    0.00000419  -9.15e-20  1.00e-31    0.00000419  -9.15e-20  1.00e-31    +     pole
     100   4.6052       2.56966203       1.51386757    -1.05579164    0.00000282    0.00000282  -2.16e-20  1.86e-31    0.00000282  -2.16e-20  1.86e-31    +     pole
    1000   6.9078       7.42284876       5.58354520    -1.83930322    0.00000033    0.00000033  -1.32e-20  7.86e-32    0.00000033  -1.32e-20  7.86e-32    +     pole
   10000   9.2103      18.46878077      15.79828456    -2.67049618    0.00000003    0.00000003  -5.26e-21  8.31e-30    0.00000003  -5.26e-21  8.31e-30    +     pole

triangle fine scan: first X with |prime| > |pole+arch| = None; first X with total < 0 = None; min total = 0.059745
