table,weight,side,r,d,value
unit prime,unit,prime,1,0,1.0000000000
unit prime,unit,prime,2,0,1.0000000000
unit prime,unit,prime,3,0,2.0000000000
unit prime,unit,prime,4,0,2.0000000000
unit prime,unit,prime,5,0,5.0000000000
unit prime,unit,prime,6,0,7.0000000000
unit prime,unit,prime,7,0,13.0000000000
unit prime,unit,prime,8,0,23.0000000000
unit prime,unit,prime,9,0,43.0000000000
unit prime,unit,prime,10,0,75.0000000000
unit prime,unit,prime,11,0,137.0000000000
unit prime,unit,prime,12,0,255.0000000000
unit prime,unit,prime,13,0,464.0000000000
unit prime,unit,prime,14,0,872.0000000000
unit prime,unit,prime,15,0,1612.0000000000
unit prime,unit,prime,16,0,3030.0000000000
unit prime,unit,prime,17,0,5709.0000000000
unit prime,unit,prime,18,0,10749.0000000000
unit prime,unit,prime,19,0,20390.0000000000
unit prime,unit,prime,20,0,38635.0000000000
unit prime,unit,prime,21,0,73586.0000000000
unit prime,unit,prime,22,0,140336.0000000000
unit prime,unit,prime,23,0,268216.0000000000
unit prime,unit,prime,24,0,513708.0000000000
unit prime,unit,prime,2,1,0.0000000000
unit prime,unit,prime,3,1,1.0000000000
unit prime,unit,prime,4,1,0.0000000000
unit prime,unit,prime,5,1,3.0000000000
unit prime,unit,prime,6,1,2.0000000000
unit prime,unit,prime,7,1,6.0000000000
unit prime,unit,prime,8,1,10.0000000000
unit prime,unit,prime,9,1,20.0000000000
unit prime,unit,prime,10,1,32.0000000000
unit prime,unit,prime,11,1,62.0000000000
unit prime,unit,prime,12,1,118.0000000000
unit prime,unit,prime,13,1,209.0000000000
unit prime,unit,prime,14,1,408.0000000000
unit prime,unit,prime,15,1,740.0000000000
unit prime,unit,prime,16,1,1418.0000000000
unit prime,unit,prime,17,1,2679.0000000000
unit prime,unit,prime,18,1,5040.0000000000
unit prime,unit,prime,19,1,9641.0000000000
unit prime,unit,prime,20,1,18245.0000000000
unit prime,unit,prime,21,1,34951.0000000000
unit prime,unit,prime,22,1,66750.0000000000
unit prime,unit,prime,23,1,127880.0000000000
unit prime,unit,prime,24,1,245492.0000000000
unit prime,unit,prime,3,2,1.0000000000
unit prime,unit,prime,4,2,-1.0000000000
unit prime,unit,prime,5,2,3.0000000000
unit prime,unit,prime,6,2,-1.0000000000
unit prime,unit,prime,7,2,4.0000000000
unit prime,unit,prime,8,2,4.0000000000
unit prime,unit,prime,9,2,10.0000000000
unit prime,unit,prime,10,2,12.0000000000
unit prime,unit,prime,11,2,30.0000000000
unit prime,unit,prime,12,2,56.0000000000
unit prime,unit,prime,13,2,91.0000000000
unit prime,unit,prime,14,2,199.0000000000
unit prime,unit,prime,15,2,332.0000000000
unit prime,unit,prime,16,2,678.0000000000
unit prime,unit,prime,17,2,1261.0000000000
unit prime,unit,prime,18,2,2361.0000000000
unit prime,unit,prime,19,2,4601.0000000000
unit prime,unit,prime,20,2,8604.0000000000
unit prime,unit,prime,21,2,16706.0000000000
unit prime,unit,prime,22,2,31799.0000000000
unit prime,unit,prime,23,2,61130.0000000000
unit prime,unit,prime,24,2,117612.0000000000
unit prime,unit,prime,4,3,-2.0000000000
unit prime,unit,prime,5,3,4.0000000000
unit prime,unit,prime,6,3,-4.0000000000
unit prime,unit,prime,7,3,5.0000000000
unit prime,unit,prime,8,3,0.0000000000
unit prime,unit,prime,9,3,6.0000000000
unit prime,unit,prime,10,3,2.0000000000
unit prime,unit,prime,11,3,18.0000000000
unit prime,unit,prime,12,3,26.0000000000
unit prime,unit,prime,13,3,35.0000000000
unit prime,unit,prime,14,3,108.0000000000
unit prime,unit,prime,15,3,133.0000000000
unit prime,unit,prime,16,3,346.0000000000
unit prime,unit,prime,17,3,583.0000000000
unit prime,unit,prime,18,3,1100.0000000000
unit prime,unit,prime,19,3,2240.0000000000
unit prime,unit,prime,20,3,4003.0000000000
unit prime,unit,prime,21,3,8102.0000000000
unit prime,unit,prime,22,3,15093.0000000000
unit prime,unit,prime,23,3,29331.0000000000
unit prime,unit,prime,24,3,56482.0000000000
unit prime,unit,prime,5,4,6.0000000000
unit prime,unit,prime,6,4,-8.0000000000
unit prime,unit,prime,7,4,9.0000000000
unit prime,unit,prime,8,4,-5.0000000000
unit prime,unit,prime,9,4,6.0000000000
unit prime,unit,prime,10,4,-4.0000000000
unit prime,unit,prime,11,4,16.0000000000
unit prime,unit,prime,12,4,8.0000000000
unit prime,unit,prime,13,4,9.0000000000
