depth,r=1,r=2,r=3,r=4,r=5,r=6,r=7,r=8,r=9,r=10,r=11,r=12,r=13,r=14,r=15,r=16,r=17,r=18,r=19,r=20,r=21,r=22,r=23,r=24
0,0.00000000,0.50000000,0.76180168,1.71369637,2.23175115,3.64602927,5.24816690,7.66564366,11.01432886,15.99475640,22.94579429,32.81066130,46.99854317,66.98160159,95.58549468,136.06019292,193.56865174,275.28346978,391.11325648,555.57902305,788.69390200,1119.30543940,1587.98655460,2252.26586806
1,,0.50000000,0.26180168,0.95189468,0.51805479,1.41427812,1.60213763,2.41747675,3.34868520,4.98042754,6.95103789,9.86486701,14.18788187,19.98305843,28.60389309,40.47469824,57.50845882,81.71481804,115.82978670,164.46576656,233.11487895,330.61153740,468.68111520,664.27931346
2,,,-0.23819832,0.69009300,-0.43383990,0.89622333,0.18785951,0.81533912,0.93120845,1.63174234,1.97061035,2.91382911,4.32301486,5.79517656,8.62083466,11.87080515,17.03376058,24.20635922,34.11496867,48.63597986,68.64911238,97.49665846,138.06957780,195.59819826
3,,,,0.92829132,-1.12393290,1.33006323,-0.70836382,0.62747961,0.11586932,0.70053389,0.33886802,0.94321876,1.40918575,1.47216169,2.82565810,3.24997049,5.16295542,7.17259864,9.90860944,14.52101120,20.01313252,28.84754607,40.57291934,57.52862046
4,,,,,-2.05222422,2.45399613,-2.03842705,1.33584343,-0.51161029,0.58466456,-0.36166587,0.60435074,0.46596699,0.06297594,1.35349641,0.42431239,1.91298493,2.00964322,2.73601080,4.61240175,5.49212133,8.83441355,11.72537327,16.95570112
5,,,,,,4.50622036,-4.49242318,3.37427048,-1.84745372,1.09627485,-0.94633043,0.96601661,-0.13838375,-0.40299105,1.29052047,-0.92918402,1.48867254,0.09665829,0.72636758,1.87639095,0.87971958,3.34229222,2.89095973,5.23032784
6,,,,,,,-8.99864354,7.86669367,-5.22172420,2.94372857,-2.04260528,1.91234704,-1.10440036,-0.26460729,1.69351152,-2.21970450,2.41785657,-1.39201425,0.62970930,1.15002336,-0.99667137,2.46257264,-0.45133249,2.33936812
7,,,,,,,,16.86533721,-13.08841787,8.16545277,-4.98633385,3.95495233,-3.01674741,0.83979307,1.95811881,-3.91321602,4.63756106,-3.80987082,2.02172355,0.52031407,-2.14669473,3.45924401,-2.91390513,2.79070061
8,,,,,,,,,-29.95375507,21.25387063,-13.15178662,8.94128617,-6.97169973,3.85654048,1.11832574,-5.87133483,8.55077708,-8.44743188,5.83159437,-1.50140948,-2.66700880,5.60593874,-6.37314914,5.70460574
9,,,,,,,,,,51.20762571,-34.40565725,22.09307279,-15.91298591,10.82824021,-2.73821474,-6.98966057,14.42211191,-16.99820896,14.27902625,-7.33300385,-1.16559932,8.27294754,-11.97908788,12.07775488
10,,,,,,,,,,,-85.61328296,56.49873004,-38.00605870,26.74122612,-13.56645495,-4.25144583,21.41177248,-31.42032087,31.27723521,-21.61203010,6.16740453,9.43854686,-20.25203543,24.05684277
11,,,,,,,,,,,,142.11201300,-94.50478874,64.74728482,-40.30768107,9.31500912,25.66321831,-52.83209334,62.69755608,-52.88926531,27.77943463,3.27114233,-29.69058229,44.30887819
12,,,,,,,,,,,,,-236.61680174,159.25207356,-105.05496589,49.62269019,16.34820920,-78.49531166,115.52964942,-115.58682139,80.66869994,-24.50829230,-32.96172463,73.99946049
