depth,r=1,r=2,r=3,r=4,r=5,r=6,r=7,r=8,r=9,r=10,r=11,r=12,r=13,r=14,r=15,r=16,r=17,r=18,r=19,r=20,r=21,r=22,r=23,r=24
0,0.70710678,0.57735027,0.82517807,0.57886144,1.04576641,1.01452267,1.36099687,1.69401377,2.23135880,2.74393984,3.55929807,4.67643496,6.01850469,7.99744444,10.45203319,13.90032610,18.50812014,24.63878178,33.04114536,44.26608683,59.61533073,80.38508373,108.63212537,147.11532990
1,,-0.12975651,0.24782780,-0.24631663,0.46690497,-0.03124375,0.34647421,0.33301689,0.53734503,0.51258105,0.81535822,1.11713689,1.34206973,1.97893975,2.45458875,3.44829292,4.60779403,6.13066164,8.40236358,11.22494147,15.34924390,20.76975300,28.24704164,38.48320452
2,,,0.37758431,-0.49414443,0.71322160,-0.49814872,0.37771796,-0.01345731,0.20432813,-0.02476398,0.30277718,0.30177867,0.22493284,0.63687001,0.47564900,0.99370417,1.15950112,1.52286761,2.27170194,2.82257789,4.12430243,5.42050910,7.47728863,10.23616289
3,,,,-0.87172874,1.20736602,-1.21137031,0.87586667,-0.39117527,0.21778545,-0.22909212,0.32754116,-0.00099851,-0.07684583,0.41193717,-0.16122101,0.51805517,0.16579694,0.36336649,0.74883433,0.55087596,1.30172454,1.29620668,2.05677953,2.75887425
4,,,,,2.07909476,-2.41873634,2.08723699,-1.26704194,0.60896072,-0.44687757,0.55663328,-0.32853967,-0.07584732,0.48878300,-0.57315819,0.67927618,-0.35225822,0.19756955,0.38546784,-0.19795837,0.75084858,-0.00551786,0.76057285,0.70209472
5,,,,,,-4.49783109,4.50597332,-3.35427893,1.87600266,-1.05583828,1.00351084,-0.88517295,0.25269235,0.56463032,-1.06194119,1.25243436,-1.03153440,0.54982777,0.18789829,-0.58342621,0.94880695,-0.75636644,0.76609071,-0.05847813
6,,,,,,,9.00380442,-7.86025225,5.23028159,-2.93184094,2.05934913,-1.88868379,1.13786530,0.31193796,-1.62657150,2.31437555,-2.28396877,1.58136217,-0.36192948,-0.77132450,1.53223316,-1.70517339,1.52245715,-0.82456884
7,,,,,,,,-16.86405667,13.09053384,-8.16212253,4.99119007,-3.94803292,3.02654910,-0.82592734,-1.93850947,3.94094705,-4.59834432,3.86533094,-1.94329165,-0.40939502,2.30355766,-3.23740654,3.22763054,-2.34702599
8,,,,,,,,,29.95459051,-21.25265637,13.15331260,-8.93922299,6.97458202,-3.85247643,-1.11258213,5.87945652,-8.53929137,8.46367526,-5.80862259,1.53389663,2.71295268,-5.54096420,6.46503708,-5.57465653
9,,,,,,,,,,-51.20724688,34.40596898,-22.09253559,15.91380501,-10.82705845,2.73989431,6.99203865,-14.41874790,17.00296663,-14.27229785,7.34251922,1.17905605,-8.25391688,12.00600128,-12.03969361
10,,,,,,,,,,,85.61321586,-56.49850457,38.00634060,-26.74086346,13.56695276,4.25214435,-21.41078655,31.42171453,-31.27526448,21.61481707,-6.16346317,-9.43297293,20.25991816,-24.04569489
11,,,,,,,,,,,,-142.11172043,94.50484517,-64.74720406,40.30781622,-9.31480841,-25.66293090,52.83250108,-62.69697901,52.89008155,-27.77828024,-3.26950977,29.69289110,-44.30561305
12,,,,,,,,,,,,,236.61656560,-159.25204924,105.05502028,-49.62262463,-16.34812249,78.49543198,-115.52948009,115.58706056,-80.66836179,24.50877047,32.96240086,-73.99850415
