depth,r=1,r=2,r=3,r=4,r=5,r=6,r=7,r=8,r=9,r=10,r=11,r=12,r=13,r=14,r=15,r=16,r=17,r=18,r=19,r=20,r=21,r=22,r=23,r=24,r=25
0,0.000000,1.386294,3.871201,15.104413,35.171670,96.515699,232.442210,550.646832,1263.914671,2895.221129,6492.169673,14364.797363,31615.446569,68791.322927,149060.978431,320694.711010,686634.217292,1464343.778160,3109728.725516,6583666.391240,13893068.905455,29239861.498991,61387148.601126,128587965.233499,268800697.622052
1,,1.386294,2.484907,11.233212,20.067257,61.344029,135.926511,318.204621,713.267839,1631.306458,3596.948544,7872.627690,17250.649206,37175.876358,80269.655504,171633.732578,365939.506282,777709.560868,1645384.947356,3473937.665724,7309402.514215,15346792.593536,32147287.102135,67200816.632373,140212732.388553
2,,,1.098612,8.748305,8.834046,41.276772,74.582482,182.278110,395.063218,918.038619,1965.642086,4275.679146,9378.021516,19925.227152,43093.779146,91364.077074,194305.773704,411770.054586,867675.386488,1828552.718368,3835464.848490,8037390.079322,16800494.508598,35053529.530238,73011915.756180
3,,,,7.649693,0.085741,32.442726,33.305710,107.695629,212.785108,522.975401,1047.603467,2310.037059,5102.342371,10547.205636,23168.551994,48270.297928,102941.696630,217464.280882,455905.331902,960877.331880,2006912.130122,4201925.230831,8763104.429277,18253035.021640,37958386.225941
4,,,,,-7.563952,32.356986,0.862983,74.389919,105.089479,310.190294,524.628066,1262.433592,2792.305311,5444.863265,12621.346358,25101.745934,54671.398702,114522.584252,238441.051021,504971.999978,1046034.798242,2195013.100709,4561179.198445,9489930.592363,19705351.204301
5,,,,,,39.920938,-31.494003,73.526936,30.699560,205.100815,214.437773,737.805526,1529.871719,2652.557954,7176.483093,12480.399576,29569.652767,59851.185550,123918.466769,266530.948958,541062.798264,1148978.302467,2366166.097736,4928751.393918,10215420.611938
6,,,,,,,-71.414940,105.020939,-42.827376,174.401255,9.336958,523.367753,792.066193,1122.686235,4523.925139,5303.916483,17089.253192,30281.532782,64067.281219,142612.482189,274531.849306,607915.504204,1217187.795269,2562585.296182,5286669.218020
7,,,,,,,,176.435879,-147.848315,217.228631,-165.064297,514.030795,268.698440,330.620042,3401.238904,779.991343,11785.336709,13192.279591,33785.748437,78545.200969,131919.367117,333383.654898,609272.291066,1345397.500913,2724083.921838
8,,,,,,,,,-324.284194,365.076946,-382.292928,679.095092,-245.332356,61.921602,3070.618862,-2621.247561,11005.345366,1406.942882,20593.468846,44759.452533,53374.166148,201464.287781,275888.636168,736125.209847,1378686.420926
9,,,,,,,,,,689.361140,-747.369875,1061.388020,-924.427448,307.253958,3008.697260,-5691.866423,13626.592927,-9598.402484,19186.525964,24165.983687,8614.713615,148090.121633,74424.348387,460236.573679,642561.211079
10,,,,,,,,,,,-1436.731015,1808.757895,-1985.815468,1231.681406,2701.443302,-8700.563683,19318.459350,-23224.995410,28784.928448,4979.457723,-15551.270072,139475.408018,-73665.773247,385812.225293,182324.637399
11,,,,,,,,,,,,3245.488910,-3794.573363,3217.496874,1469.761896,-11402.006985,28019.023033,-42543.454760,52009.923858,-23805.470725,-20530.727794,155026.678090,-213141.181265,459477.998539,-203487.587894
12,,,,,,,,,,,,,-7040.062273,7012.070237,-1747.734978,-12871.768881,39421.030018,-70562.477794,94553.378618,-75815.394583,3274.742931,175557.405884,-368167.859355,672619.179804,-662965.586433
