depth,r=1,r=2,r=3,r=4,r=5,r=6,r=7,r=8,r=9,r=10,r=11,r=12,r=13,r=14,r=15,r=16,r=17,r=18,r=19,r=20,r=21,r=22,r=23,r=24,r=25
0,0,1,2,6,11,25,51,105,213,437,887,1793,3632,7320,14772,29738,59827,120323,241754,485653,974990,1956816,3926088,7874900,15791398
1,,1,1,4,5,14,26,54,108,224,450,906,1839,3688,7452,14966,30089,60496,121431,243899,489337,981826,1969272,3948812,7916498
2,,,0,3,1,9,12,28,54,116,226,456,933,1849,3764,7514,15123,30407,60935,122468,245438,492489,987446,1979540,3967686
3,,,,3,-2,8,3,16,26,62,110,230,477,916,1915,3750,7609,15284,30528,61533,122970,247051,494957,992094,1988146
4,,,,,-5,10,-5,13,10,36,48,120,247,439,999,1835,3859,7675,15244,31005,61437,124081,247906,497137,996052
5,,,,,,15,-15,18,-3,26,12,72,127,192,560,836,2024,3816,7569,15761,30432,62644,123825,249231,498915
6,,,,,,,-30,33,-21,29,-14,60,55,65,368,276,1188,1792,3753,8192,14671,32212,61181,125406,249684
7,,,,,,,,63,-54,50,-43,74,-5,10,303,-92,912,604,1961,4439,6479,17541,28969,64225,124278
8,,,,,,,,,-117,104,-93,117,-79,15,293,-395,1004,-308,1357,2478,2040,11062,11428,35256,60053
9,,,,,,,,,,221,-197,210,-196,94,278,-688,1399,-1312,1665,1121,-438,9022,366,23828,24797
10,,,,,,,,,,,-418,407,-406,290,184,-966,2087,-2711,2977,-544,-1559,9460,-8656,23462,969
11,,,,,,,,,,,,825,-813,696,-106,-1150,3053,-4798,5688,-3521,-1015,11019,-18116,32118,-22493
12,,,,,,,,,,,,,-1638,1509,-802,-1044,4203,-7851,10486,-9209,2506,12034,-29135,50234,-54611
