Dyadic regime residuals: c_n = pi(2^n) - pi(2^(n-1)), e_n = c_n - (li(2^n)-li(2^(n-1)))
  n        c_n     smooth (li diff)   e_n (residual)
  1          1                  inf             -inf
  2          1               1.9224          -0.9224
  3          2               2.2861          -0.2861
  4          2               3.2660          -1.2660
  5          5               5.0854          -0.0854
  6          7               8.3296          -1.3296
  7         13              14.1079          -1.1079
  8         23              24.4705          -1.4705
  9         43              43.2081          -0.2081
 10         75              77.3569          -2.3569
 11        137             140.0364          -3.0364
 12        255             255.8081          -0.8081
 13        464             470.8294          -6.8294
 14        872             872.1365          -0.1365
 15       1612            1624.3557         -12.3557
 16       3030            3039.7427          -9.7427
 17       5709            5712.0804          -3.0804
 18      10749           10773.1260         -24.1260
 19      20390           20384.6183           5.3817
 20      38635           38683.7163         -48.7163
