depth,r=1,r=2,r=3,r=4,r=5,r=6,r=7,r=8,r=9,r=10,r=11,r=12,r=13,r=14,r=15,r=16,r=17,r=18,r=19,r=20,r=21,r=22,r=23,r=24,r=25
0,0.693147,2.484907,7.426549,20.067257,50.886099,123.610240,291.237279,670.851800,1518.803193,3392.151413,7493.739088,16406.697088,35652.178485,76982.272116,165320.721072,353354.142386,752134.031826,1595119.904330,3371943.836588,7107296.075603,14941409.302636,31336453.254704,65580176.154845,136974891.947139,285578863.515749
1,,1.791759,4.941642,12.640708,30.818842,72.724141,167.627039,379.614521,847.951393,1873.348220,4101.587674,8912.958001,19245.481397,41330.093630,88338.448956,188033.421315,398779.889440,842985.872504,1776823.932258,3735352.239016,7834113.227033,16395043.952068,34243722.900141,71394715.792294,148603971.568610
2,,,3.149883,7.699066,18.178134,41.905299,94.902898,211.987482,468.336872,1025.396827,2228.239454,4811.370326,10332.523396,22084.612233,47008.355326,99694.972359,210746.468125,444205.983064,933838.059754,1958528.306758,4098760.988017,8560930.725035,17848678.948073,37150992.892153,77209255.776316
3,,,,4.549183,10.479068,23.727165,52.997600,117.084584,256.349390,557.059955,1202.842627,2583.130872,5521.153070,11752.088837,24923.743092,52686.617033,111051.495767,233459.514939,489632.076690,1024690.247004,2140232.681259,4462169.737018,9287748.223038,19302313.944079,40058262.884164
4,,,,,5.929886,13.248096,29.270435,64.086984,139.264806,300.710565,645.782672,1380.288245,2938.022198,6230.935767,13171.654255,27762.873940,58364.878734,122408.019172,256172.561751,535058.170315,1115542.434255,2321937.055760,4825578.486020,10014565.721041,20755948.940085
5,,,,,,7.318211,16.022339,34.816549,75.177822,161.445759,345.072107,734.505572,1557.733953,3292.913570,6940.718488,14591.219685,30602.004794,64043.140438,133764.542579,278885.608564,580484.263940,1206394.621505,2503641.430260,5188987.235021,10741383.219044
6,,,,,,,8.704128,18.794210,40.361273,86.267937,183.626348,389.433465,823.228381,1735.179616,3647.804918,7650.501197,16010.785109,33441.135644,69721.402141,145121.065985,301598.655376,625910.357565,1297246.808755,2685345.804761,5552395.984023
7,,,,,,,,10.090081,21.567064,45.906664,97.358410,205.807118,433.794915,911.951235,1912.625302,4002.696279,8360.283912,17430.350536,36280.266496,75399.663844,156477.589391,324311.702189,671336.451190,1388098.996006,2867050.179262
8,,,,,,,,,11.476982,24.339600,51.451746,108.448708,227.987798,478.156320,1000.674067,2090.070977,4357.587633,9070.066624,18849.915961,39119.397348,81077.925547,167834.112798,347024.749001,716762.544815,1478951.183256
9,,,,,,,,,,12.862618,27.112146,56.996961,119.539090,250.168522,522.517747,1089.396910,2267.516657,4712.478991,9779.849337,20269.481387,41958.528199,86756.187250,179190.636204,369737.795814,762188.638441
10,,,,,,,,,,,14.249527,29.884816,62.542129,130.629432,272.349225,566.879163,1178.119747,2444.962334,5067.370347,10489.632050,21689.046813,44797.659051,92434.448953,190547.159610,392450.842627
11,,,,,,,,,,,,15.635288,32.657313,68.087304,141.719792,294.529938,611.240584,1266.842587,2622.408013,5422.261703,11199.414763,23108.612238,47636.789903,98112.710657,201903.683016
12,,,,,,,,,,,,,17.022025,35.429991,73.632489,152.810146,316.710646,655.602003,1355.565426,2799.853691,5777.153060,11909.197476,24528.177664,50475.920754,103790.972360
