depth,r=1,r=2,r=3,r=4,r=5,r=6,r=7,r=8,r=9,r=10,r=11,r=12,r=13,r=14,r=15,r=16,r=17,r=18,r=19,r=20,r=21,r=22,r=23,r=24,r=25
0,0.693147,1.098612,3.555348,4.962845,15.714430,27.094541,58.795069,120.204969,254.888522,496.930284,1001.569414,2041.899725,4036.731916,8190.949188,16259.742640,32659.431377,65499.814534,130776.126170,262215.111071,523629.684363,1048340.397181,2096591.755712,4193027.553719,8386926.713640,16778165.893697
1,,0.405465,2.456736,1.407497,10.751585,11.380111,31.700528,61.409900,134.683554,242.041762,504.639130,1040.330311,1994.832191,4154.217272,8068.793452,16399.688736,32840.383157,65276.311636,131438.984902,261414.573291,524710.712818,1048251.358532,2096435.798007,4193899.159921,8391239.180057
2,,,2.051271,-1.049239,9.344088,0.628526,20.320417,29.709372,73.273654,107.358208,262.597368,535.691181,954.501880,2159.385081,3914.576180,8330.895284,16440.694421,32435.928478,66162.673266,129975.588390,263296.139527,523540.645714,1048184.439475,2097463.361914,4197340.020137
3,,,,-3.100510,10.393328,-8.715562,19.691890,9.388955,43.564282,34.084554,155.239160,273.093812,418.810699,1204.883201,1755.191098,4416.319104,8109.799137,15995.234057,33726.744788,63812.915124,133320.551137,260244.506187,524643.793762,1049278.922439,2099876.658222
4,,,,,13.493837,-19.108890,28.407452,-10.302935,34.175327,-9.479728,121.154606,117.854652,145.716887,786.072502,550.307897,2661.128006,3693.480032,7885.434921,17731.510730,30086.170336,69507.636013,126923.955050,264399.287574,524635.128678,1050597.735783
5,,,,,,-32.602727,47.516342,-38.710387,44.478262,-43.655055,130.634334,-3.299954,27.862234,640.355616,-235.764605,2110.820109,1032.352026,4191.954888,9846.075810,12354.659606,39421.465676,57416.319038,137475.332524,260235.841103,525962.607106
6,,,,,,,80.119069,-86.226729,83.188650,-88.133318,174.289390,-133.934288,31.162188,612.493381,-876.120221,2346.584714,-1078.468083,3159.602862,5654.120922,2508.583796,27066.806070,17994.853361,80059.013486,122760.508579,265726.766003
7,,,,,,,,-166.345798,169.415379,-171.321967,262.422707,-308.223677,165.096476,581.331193,-1488.613602,3222.704935,-3425.052797,4238.070945,2494.518060,-3145.537125,24558.222274,-9071.952709,62064.160125,42701.495093,142966.257424
8,,,,,,,,,335.761176,-340.737346,433.744675,-570.646385,473.320153,416.234717,-2069.944795,4711.318538,-6647.757732,7663.123742,-1743.552885,-5640.055185,27703.759400,-33630.174983,71136.112834,-19362.665032,100264.762330
9,,,,,,,,,,-676.498522,774.482020,-1004.391059,1043.966538,-57.085436,-2486.179513,6781.263333,-11359.076270,14310.881474,-9406.676627,-3896.502300,33343.814584,-61333.934383,104766.287817,-90498.777865,119627.427362
10,,,,,,,,,,,1450.980543,-1778.873079,2048.357597,-1101.051973,-2429.094077,9267.442846,-18140.339603,25669.957744,-23717.558101,5510.174327,37240.316884,-94677.748967,166100.222200,-195265.065682,210126.205227
11,,,,,,,,,,,,-3229.853622,3827.230676,-3149.409570,-1328.042104,11696.536923,-27407.782449,43810.297347,-49387.515845,29227.732428,31730.142557,-131918.065852,260777.971167,-361365.287882,405391.270910
12,,,,,,,,,,,,,7057.084298,-6976.640247,1821.367467,13024.579027,-39104.319372,71218.079796,-93197.813193,78615.248274,2502.410129,-163648.208409,392696.037019,-622143.259050,766756.558792
