depth,unit prime,log prime,beat prime,unit comp,log comp,beat comp,unit prime ratio,log prime ratio,beat prime ratio,unit comp ratio,log comp ratio,beat comp ratio
0,1077871.00000000,16772181.41841673,575.58514020,15699344.00000000,245548531.05137289,7613.95462736,,,,,,
1,513707.00000000,8386926.02049277,146.40822311,7874900.00000000,128587965.23349869,2252.26586806,0.47659414,0.50004980,0.25436415,0.50160695,0.52367638,0.29580763
2,245492.00000000,4193898.75445578,38.61296104,3948811.00000000,67200815.24607858,663.77931346,0.47788331,0.50005196,0.26373492,0.50144268,0.52260579,0.29471623
3,117611.00000000,2097461.31064347,9.85857858,1979540.00000000,35053528.43162613,195.83639658,0.47908282,0.50012207,0.25531786,0.50130026,0.52162356,0.29503239
4,56484.00000000,1049282.02294888,3.63060299,992091.00000000,18253027.37194747,56.60032914,0.48026120,0.50026287,0.36826840,0.50117249,0.52071869,0.28901844
5,27145.00000000,524621.63484006,-1.37700003,497142.00000000,9489938.15631534,19.00792534,0.48057857,0.49998153,-0.37927585,0.50110524,0.51991037,0.33582712
6,12927.00000000,260268.44383012,4.43935296,249216.00000000,4928711.47298040,0.72410749,0.47622030,0.49610696,-3.22393090,0.50129742,0.51936181,0.03809503
7,5635.00000000,122680.38951048,-9.82837326,125436.00000000,2562656.71112204,11.33801166,0.43590934,0.47136098,-2.21392021,0.50332242,0.51994456,15.65791248
8,1373.00000000,42867.84089083,14.51703067,64162.00000000,1345221.06503347,-14.07463660,0.24365572,0.34942700,-1.47705325,0.51151185,0.52493222,-1.24136727
9,-2606.00000000,-19698.42620797,-35.52924704,35373.00000000,736449.49404110,35.65836082,-1.89803350,-0.45951524,-2.44741833,0.55130763,0.54745611,-2.53351911
10,-7224.00000000,-89822.27934321,39.16755327,23607.00000000,459547.21253888,-39.12987083,2.77206447,4.55987084,-1.10240313,0.66737342,0.62400370,-1.09735473
11,-15689.00000000,-196716.04622508,-109.65891075,23880.00000000,387248.95630764,109.67012573,2.17178848,2.19005850,-2.79973860,1.01156437,0.84267502,-2.80272138
12,-27198.00000000,-358135.43426046,97.80610738,31293.00000000,456232.50962888,-97.80313481,1.73357129,1.82057052,-0.89191208,1.31042714,1.17813748,-0.89179377
13,-49825.00000000,-629200.34334833,-310.61506975,51872.00000000,679659.24207732,310.61626223,1.83193617,1.75687822,-3.17582489,1.65762311,1.48972120,-3.17593360
14,-75199.00000000,-1000805.57152389,288.90770983,76222.00000000,1026734.90664792,-288.90769019,1.50926242,1.59059921,-0.93011492,1.46942474,1.51066129,-0.93011128
15,-125485.00000000,-1594015.27375468,-775.59021976,125996.00000000,1607324.24212304,775.59053219,1.66870570,1.59273221,-2.68456048,1.65301357,1.56547151,-2.68456174
16,-163453.00000000,-2273251.87704993,1060.46936527,163708.00000000,2280072.52355231,-1060.46955273,1.30257003,1.42611675,-1.36730626,1.29931109,1.41855169,-1.36730595
17,-223725.00000000,-3060900.26442225,-1306.63223729,223852.00000000,3064387.33376501,1306.63242694,1.36874208,1.34648531,-1.23212634,1.36738583,1.34398678,-1.23212630
18,-256698.00000000,-4097687.08168379,3925.84281358,256761.00000000,4099462.30803600,-3925.84296773,1.14738183,1.33871957,-3.00455071,1.14701231,1.33777550,-3.00455039
19,-27706.00000000,-2382131.90149065,1286.02135607,27737.00000000,2383028.33240387,-1286.02122610,0.10793228,0.58133573,0.32757841,0.10802653,0.58130266,0.32757837
20,-219571.00000000,-5605842.38218117,12220.27029879,219586.00000000,5606287.63189833,-12220.27040317,7.92503429,2.35328798,9.50238520,7.91671774,2.35258958,9.50238624
