depth,r=1,r=2,r=3,r=4,r=5,r=6,r=7,r=8,r=9,r=10,r=11,r=12,r=13,r=14,r=15,r=16,r=17,r=18,r=19,r=20,r=21,r=22,r=23,r=24,r=25
0,1,1,2,2,5,7,13,23,43,75,137,255,464,872,1612,3030,5709,10749,20390,38635,73586,140336,268216,513708,985818
1,,0,1,0,3,2,6,10,20,32,62,118,209,408,740,1418,2679,5040,9641,18245,34951,66750,127880,245492,472110
2,,,1,-1,3,-1,4,4,10,12,30,56,91,199,332,678,1261,2361,4601,8604,16706,31799,61130,117612,226618
3,,,,-2,4,-4,5,0,6,2,18,26,35,108,133,346,583,1100,2240,4003,8102,15093,29331,56482,109006
4,,,,,6,-8,9,-5,6,-4,16,8,9,73,25,213,237,517,1140,1763,4099,6991,14238,27151,52524
5,,,,,,-14,17,-14,11,-10,20,-8,1,64,-48,188,24,280,623,623,2336,2892,7247,12913,25373
6,,,,,,,31,-31,25,-21,30,-28,9,63,-112,236,-164,256,343,0,1713,556,4355,5666,12460
7,,,,,,,,-62,56,-46,51,-58,37,54,-175,348,-400,420,87,-343,1713,-1157,3799,1311,6794
8,,,,,,,,,118,-102,97,-109,95,17,-229,523,-748,820,-333,-430,2056,-2870,4956,-2488,5483
9,,,,,,,,,,-220,199,-206,204,-78,-246,752,-1271,1568,-1153,-97,2486,-4926,7826,-7444,7971
10,,,,,,,,,,,419,-405,410,-282,-168,998,-2023,2839,-2721,1056,2583,-7412,12752,-15270,15415
11,,,,,,,,,,,,-824,815,-692,114,1166,-3021,4862,-5560,3777,1527,-9995,20164,-28022,30685
12,,,,,,,,,,,,,1639,-1507,806,1052,-4187,7883,-10422,9337,-2250,-11522,30159,-48186,58707
