regime,A_diff,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17
1,1,,,,,,,,,,,,,,,,,
2,2,1,,,,,,,,,,,,,,,,
3,0,-2,-3,,,,,,,,,,,,,,,
4,4,4,6,9,,,,,,,,,,,,,,
5,6,2,-2,-8,-17,,,,,,,,,,,,,
6,18,12,10,12,20,37,,,,,,,,,,,,
7,38,20,8,-2,-14,-34,-71,,,,,,,,,,,
8,82,44,24,16,18,32,66,137,,,,,,,,,,
9,170,88,44,20,4,-14,-46,-112,-249,,,,,,,,,
10,362,192,104,60,40,36,50,96,208,457,,,,,,,,
11,750,388,196,92,32,-8,-44,-94,-190,-398,-855,,,,,,,
12,1538,788,400,204,112,80,88,132,226,416,814,1669,,,,,,
13,3168,1630,842,442,238,126,46,-42,-174,-400,-816,-1630,-3299,,,,,
14,6448,3280,1650,808,366,128,2,-44,-2,172,572,1388,3018,6317,,,,
15,13160,6712,3432,1782,974,608,480,478,522,524,352,-220,-1608,-4626,-10943,,,
16,26708,13548,6836,3404,1622,648,40,-440,-918,-1440,-1964,-2316,-2096,-488,4138,15081,,
17,54118,27410,13862,7026,3622,2000,1352,1312,1752,2670,4110,6074,8390,10486,10974,6836,-8245,
18,109574,55456,28046,14184,7158,3536,1536,184,-1128,-2880,-5550,-9660,-15734,-24124,-34610,-45584,-52420,-44175
19,221364,111790,56334,28288,14104,6946,3410,1874,1690,2818,5698,11248,20908,36642,60766,95376,140960,193380
20,447018,225654,113864,57530,29242,15138,8192,4782,2908,1218,-1600,-7298,-18546,-39454,-76096,-136862,-232238,-373198
21,901404,454386,228732,114868,57338,28096,12958,4766,-16,-2924,-4142,-2542,4756,23302,62756,138852,275714,507952
22,1816480,915076,460690,231958,117090,59752,31656,18698,13932,13948,16872,21014,23556,18800,-4502,-67258,-206110,-481824
23,3657872,1841392,926316,465626,233668,116578,56826,25170,6472,-7460,-21408,-38280,-59294,-82850,-101650,-97148,-29890,176220
24,7361192,3703320,1861928,935612,469986,236318,119740,62914,37744,31272,38732,60140,98420,157714,240564,342214,439362,469252
25,14805580,7444388,3741068,1879140,943528,473542,237224,117484,54570,16826,-14446,-53178,-113318,-211738,-369452,-610016,-952230,-1391592
26,29766192,14960612,7516224,3775156,1896016,952488,478946,241722,124238,69668,52842,67288,120466,233784,445522,814974,1424990,2377220
27,59817376,30051184,15090572,7574348,3799192,1903176,950688,471742,230020,105782,36114,-16728,-84016,-204482,-438266,-883788,-1698762,-3123752
28,120163148,60345772,30294588,15204016,7629668,3830476,1927300,976612,504870,274850,169068,132954,149682,233698,438180,876446,1760234,3458996
