regime,A_count,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20,delta_21,delta_22,delta_23,delta_24,delta_25,delta_26,delta_27,delta_28,delta_29,delta_30,delta_31
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11,5,0,-5,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,25,14,9,9,14,24,,,,,,,,,,,,,,,,,,,,,,,,,,
7,51,26,12,3,-6,-20,-44,,,,,,,,,,,,,,,,,,,,,,,,,
8,105,54,28,16,13,19,39,83,,,,,,,,,,,,,,,,,,,,,,,,
9,213,108,54,26,10,-3,-22,-61,-144,,,,,,,,,,,,,,,,,,,,,,,
10,437,224,116,62,36,26,29,51,112,256,,,,,,,,,,,,,,,,,,,,,,
11,887,450,226,110,48,12,-14,-43,-94,-206,-462,,,,,,,,,,,,,,,,,,,,,
12,1793,906,456,230,120,72,60,74,117,211,417,879,,,,,,,,,,,,,,,,,,,,
13,3632,1839,933,477,247,127,55,-5,-79,-196,-407,-824,-1703,,,,,,,,,,,,,,,,,,,
14,7320,3688,1849,916,439,192,65,10,15,94,290,697,1521,3224,,,,,,,,,,,,,,,,,,
15,14772,7452,3764,1915,999,560,368,303,293,278,184,-106,-803,-2324,-5548,,,,,,,,,,,,,,,,,
16,29738,14966,7514,3750,1835,836,276,-92,-395,-688,-966,-1150,-1044,-241,2083,7631,,,,,,,,,,,,,,,,
17,59827,30089,15123,7609,3859,2024,1188,912,1004,1399,2087,3053,4203,5247,5488,3405,-4226,,,,,,,,,,,,,,,
18,120323,60496,30407,15284,7675,3816,1792,604,-308,-1312,-2711,-4798,-7851,-12054,-17301,-22789,-26194,-21968,,,,,,,,,,,,,,
19,241754,121431,60935,30528,15244,7569,3753,1961,1357,1665,2977,5688,10486,18337,30391,47692,70481,96675,118643,,,,,,,,,,,,,
20,485653,243899,122468,61533,31005,15761,8192,4439,2478,1121,-544,-3521,-9209,-19695,-38032,-68423,-116115,-186596,-283271,-401914,,,,,,,,,,,,
21,974990,489337,245438,122970,61437,30432,14671,6479,2040,-438,-1559,-1015,2506,11715,31410,69442,137865,253980,440576,723847,1125761,,,,,,,,,,,
22,1956816,981826,492489,247051,124081,62644,32212,17541,11062,9022,9460,11019,12034,9528,-2187,-33597,-103039,-240904,-494884,-935460,-1659307,-2785068,,,,,,,,,,
23,3926088,1969272,987446,494957,247906,123825,61181,28969,11428,366,-8656,-18116,-29135,-41169,-50697,-48510,-14913,88126,329030,823914,1759374,3418681,6203749,,,,,,,,,
24,7874900,3948812,1979540,992094,497137,249231,125406,64225,35256,23828,23462,32118,50234,79369,120538,171235,219745,234658,146532,-182498,-1006412,-2765786,-6184467,-12388216,,,,,,,,
25,15791398,7916498,3967686,1988146,996052,498915,249684,124278,60053,24797,969,-22493,-54611,-104845,-184214,-304752,-475987,-695732,-930390,-1076922,-894424,111988,2877774,9062241,21450457,,,,,,,
26,31660312,15868914,7952416,3984730,1996584,1000532,501617,251933,127655,67602,42805,41836,64329,118940,223785,407999,712751,1188738,1884470,2814860,3891782,4786206,4674218,1796444,-7265797,-28716254,,,,,,
27,63463120,31802808,15933894,7981478,3996748,2000164,999632,498015,246082,118427,50825,8020,-33816,-98145,-217085,-440870,-848869,-1561620,-2750358,-4634828,-7449688,-11341470,-16127676,-20801894,-22598338,-15332541,13383713,,,,,
28,127190438,63727318,31924510,15990616,8009138,4012390,2012226,1012594,514579,268497,150070,99245,91225,125041,223186,440271,881141,1730010,3291630,6041988,10676816,18126504,29467974,45595650,66397544,88995882,104328423,90944710,,,,
29,254873549,127683111,63955793,32031283,16040667,8031529,4019139,2006913,994319,479740,211243,61173,-38072,-129297,-254338,-477524,-917795,-1798936,-3528946,-6820576,-12862564,-23539380,-41665884,-71133858,-116729508,-183127052,-272122934,-376451357,-467396067,,,
30,510663634,255790085,128106974,64151181,32119898,16079231,8047702,4028563,2021650,1027331,547591,336348,275175,313247,442544,696882,1174406,2092201,3891137,7420083,14240659,27103223,50642603,92308487,163442345,280171853,463298905,735421839,1111873196,1579269263,,
31,1023044287,512380653,256590568,128483594,64332413,32212515,16133284,8085582,4057019,2035369,1008038,460447,124099,-151076,-464323,-906867,-1603749,-2778155,-4870356,-8761493,-16181576,-30422235,-57525458,-108168061,-200476548,-363918893,-644090746,-1107389651,-1842811490,-2954684686,-4533953949,
32,2049300992,1026256705,513876052,257285484,128801890,64469477,32256962,16123678,8038096,3981077,1945708,937670,477223,353124,504200,968523,1875390,3479139,6257294,11127650,19889143,36070719,66492954,124018412,232186473,432663021,796581914,1440672660,2548062311,4390873801,7345558487,11879512436
