regime,A_count,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19
1,2,,,,,,,,,,,,,,,,,,,
2,18,16,,,,,,,,,,,,,,,,,,
3,107,89,73,,,,,,,,,,,,,,,,,
4,718,611,522,449,,,,,,,,,,,,,,,,
5,5121,4403,3792,3270,2821,,,,,,,,,,,,,,,
6,37966,32845,28442,24650,21380,18559,,,,,,,,,,,,,,
7,290415,252449,219604,191162,166512,145132,126573,,,,,,,,,,,,,
8,2272816,1982401,1729952,1510348,1319186,1152674,1007542,880969,,,,,,,,,,,,
9,18093641,15820825,13838424,12108472,10598124,9278938,8126264,7118722,6237753,,,,,,,,,,,
10,145977172,127883531,112062706,98224282,86115810,75517686,66238748,58112484,50993762,44756009,,,,,,,,,,
11,1190522862,1044545690,916662159,804599453,706375171,620259361,544741675,478502927,420390443,369396681,324640672,,,,,,,,,
12,9795617853,8605094991,7560549301,6643887142,5839287689,5132912518,4512653157,3967911482,3489408555,3069018112,2699621431,2374980759,,,,,,,,
13,81196219825,71400601972,62795506981,55234957680,48591070538,42751782849,37618870331,33106217174,29138305692,25648897137,22579879025,19880257594,17505276835,,,,,,,
14,677267475318,596071255493,524670653521,461875146540,406640188860,358049118322,315297335473,277678465142,244572247968,215433942276,189785045139,167205166114,147324908520,129819631685,,,,,,
15,5679631160460,5002363685142,4406292429649,3881621776128,3419746629588,3013106440728,2655057322406,2339759986933,2062081521791,1817509273823,1602075331547,1412290286408,1245085120294,1097760211774,967940580089,,,,,
16,47852720481771,42173089321311,37170725636169,32764433206520,28882811430392,25463064800804,22449958360076,19794901037670,17455141050737,15393059528946,13575550255123,11973474923576,10561184637168,9316099516874,8218339305100,7250398725011,,,,
17,404826000267543,356973279785772,314800190464461,277629464828292,244865031621772,215982220191380,190519155390576,168069197030500,148274295992830,130819154942093,115426095413147,101850545158024,89877070234448,79315885597280,69999786080406,61781446775306,54531048050295,,,
18,3437147319667185,3032321319399642,2675348039613870,2360547849149409,2082918384321117,1838053352699345,1622071132507965,1431551977117389,1263482780086889,1115208484094059,984389329151966,868963233738819,767112688580795,677235618346347,597919732749067,527919946668661,466138499893355,411607451843060,,
19,29276754100851717,25839606781184532,22807285461784890,20131937422171020,17771389573021611,15688471188700494,13850417836001149,12228346703493184,10796794726375795,9533311946288906,8418103462194847,7433714133042881,6564750899304062,5797638210723267,5120402592376920,4522482859627853,3994562912959192,3528424413065837,3116816961222777,
20,250090335847121166,220813581746269449,194973974965084917,172166689503300027,152034752081129007,134263362508107396,118574891319406902,104724473483405753,92496126779912569,81699332053536774,72166020107247868,63747916645053021,56314202512010140,49749451612706078,43951813401982811,38831410809605891,34308927949978038,30314365037018846,26785940623953009,23669123662730232
