regime,A_count,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20,delta_21
1,2,,,,,,,,,,,,,,,,,,,,,
2,11,9,,,,,,,,,,,,,,,,,,,,
3,53,42,33,,,,,,,,,,,,,,,,,,,
4,289,236,194,161,,,,,,,,,,,,,,,,,,
5,1582,1293,1057,863,702,,,,,,,,,,,,,,,,,
6,9159,7577,6284,5227,4364,3662,,,,,,,,,,,,,,,,
7,54587,45428,37851,31567,26340,21976,18314,,,,,,,,,,,,,,,
8,332079,277492,232064,194213,162646,136306,114330,96016,,,,,,,,,,,,,,
9,2056147,1724068,1446576,1214512,1020299,857653,721347,607017,511001,,,,,,,,,,,,,
10,12899412,10843265,9119197,7672621,6458109,5437810,4580157,3858810,3251793,2740792,,,,,,,,,,,,
11,81810282,68910870,58067605,48948408,41275787,34817678,29379868,24799711,20940901,17689108,14948316,,,,,,,,,,,
12,523482612,441672330,372761460,314693855,265745447,224469660,189651982,160272114,135472403,114531502,96842394,81894078,,,,,,,,,,
13,3374503621,2851021009,2409348679,2036587219,1721893364,1456147917,1231678257,1042026275,881754161,746281758,631750256,534907862,453013784,,,,,,,,,
14,21890033002,18515529381,15664508372,13255159693,11218572474,9496679110,8040531193,6808852936,5766826661,4885072500,4138790742,3507040486,2972132624,2519118840,,,,,,,,
15,142765693979,120875660977,102360131596,86695623224,73440463531,62221891057,52725211947,44684680754,37875827818,32109001157,27223928657,23085137915,19578097429,16605964805,14086845965,,,,,,,
16,935476234561,792710540582,671834879605,569474748009,482779124785,409338661254,347116770197,294391558250,249706877496,211831049678,179722048521,152498119864,129412981949,109834884520,93228919715,79142073750,,,,,,
17,6154898653552,5219422418991,4426711878409,3754876998804,3185402250795,2702623126010,2293284464756,1946167694559,1651776136309,1402069258813,1190238209135,1010516160614,858018040750,728605058801,618770174281,525541254566,446399180816,,,,,
18,40642497729329,34487599075777,29268176656786,24841464778377,21086587779573,17901185528778,15198562402768,12905277938012,10959110243453,9307334107144,7905264848331,6715026639196,5704510478582,4846492437832,4117887379031,3499117204750,2973575950184,2527176769368,,,,
19,269238815942031,228596318212702,194108719136925,164840542480139,139999077701762,118912489922189,101011304393411,85812741990643,72907464052631,61948353809178,52641019702034,44735754853703,38020728214507,32316217735925,27469725298093,23351837919062,19852720714312,16879144764128,14351967994760,,,
20,1788737164077317,1519498348135286,1290902029922584,1096793310785659,931952768305520,791953690603758,673041200681569,572029896288158,486217154297515,413309690244884,351361336435706,298720316733672,253984561879969,215963833665462,183647615929537,156177890631444,132826052712382,112973331998070,96094187233942,81742219239182,,
21,11914684056364607,10125946892287290,8606448544152004,7315546514229420,6218753203443761,5286800435138241,4494846744534483,3821805543852914,3249775647564756,2763558493267241,2350248803022357,1998887466586651,1700167149852979,1446182587973010,1230218754307548,1046571138378011,890393247746567,757567195034185,644593863036115,548499675802173,466757456562991,
22,79549770758428631,67635086702064024,57509139809776734,48902691265624730,41587144751395310,35368391547951549,30081591112813308,25586744368278825,21764938824425911,18515163176861155,15751604683593914,13401355880571557,11402468413984906,9702301264131927,8256118676158917,7025899921851369,5979328783473358,5088935535726791,4331368340692606,3686774477656491,3138274801854318,2671517345291327
