regime,A_count,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20,delta_21,delta_22,delta_23
1,1,,,,,,,,,,,,,,,,,,,,,,,
2,8,7,,,,,,,,,,,,,,,,,,,,,,
3,36,28,21,,,,,,,,,,,,,,,,,,,,,
4,163,127,99,78,,,,,,,,,,,,,,,,,,,,
5,775,612,485,386,308,,,,,,,,,,,,,,,,,,,
6,3836,3061,2449,1964,1578,1270,,,,,,,,,,,,,,,,,,
7,19606,15770,12709,10260,8296,6718,5448,,,,,,,,,,,,,,,,,
8,102299,82693,66923,54214,43954,35658,28940,23492,,,,,,,,,,,,,,,,
9,542706,440407,357714,290791,236577,192623,156965,128025,104533,,,,,,,,,,,,,,,
10,2918716,2376010,1935603,1577889,1287098,1050521,857898,700933,572908,468375,,,,,,,,,,,,,,
11,15864890,12946174,10570164,8634561,7056672,5769574,4719053,3861155,3160222,2587314,2118939,,,,,,,,,,,,,
12,87007834,71142944,58196770,47626606,38992045,31935373,26165799,21446746,17585591,14425369,11838055,9719116,,,,,,,,,,,,
13,480715333,393707499,322564555,264367785,216741179,177749134,145813761,119647962,98201216,80615625,66190256,54352201,44633085,,,,,,,,,,,
14,2672697063,2191981730,1798274231,1475709676,1211341891,994600712,816851578,671037817,551389855,453188639,372573014,306382758,252030557,207397472,,,,,,,,,,
15,14940215108,12267518045,10075536315,8277262084,6801552408,5590210517,4595609805,3778758227,3107720410,2556330555,2103141916,1730568902,1424186144,1172155587,964758115,,,,,,,,,
16,83906960290,68966745182,56699227137,46623690822,38346428738,31544876330,25954665813,21359056008,17580297781,14472577371,11916246816,9813104900,8082535998,6658349854,5486194267,4521436152,,,,,,,,
17,473173969788,389267009498,320300264316,263601037179,216977346357,178630917619,147086041289,121131375476,99772319468,82192021687,67719444316,55803197500,45990092600,37907556602,31249206748,25763012481,21241576329,,,,,,,
18,2678040503680,2204866533892,1815599524394,1495299260078,1231698222899,1014720876542,836089958923,689003917634,567872542158,468100222690,385908201003,318188756687,262385559187,216395466587,178487909985,147238703237,121475690756,100234114427,,,,,,
19,15205931369398,12527890865718,10323024331826,8507424807432,7012125547354,5780427324455,4765706447913,3929616488990,3240612571356,2672740029198,2204639806508,1818731605505,1500542848818,1238157289631,1021761823044,843273913059,696035209822,574559519066,474325404639,,,,,
20,86588847805324,71382916435926,58855025570208,48532001238382,40024576430950,33012450883596,27232023559141,22466317111228,18536700622238,15296088050882,12623348021684,10418708215176,8599976609671,7099433760853,5861276471222,4839514648178,3996240735119,3300205525297,2725646006231,2251320601592,,,,
21,494355441566238,407766593760914,336383677324988,277528651754780,228996650516398,188972074085448,155959623201852,128727599642711,106261282531483,87724581909245,72428493858363,59805145836679,49386437621503,40786461011832,33687027250979,27825750779757,22986236131579,18989995396460,15689789871163,12964143864932,10712823263340,,,
22,2829034130096619,2334678688530381,1926912094769467,1590528417444479,1312999765689699,1084003115173301,895031041087853,739071417886001,610343818243290,504082535711807,416357953802562,343929459944199,284124314107520,234737876486017,193951415474185,160264388223206,132438637443449,109452401311870,90462405915410,74772616044247,61808472179315,51095648915975,,
23,16224306919681091,13395272789584472,11060594101054091,9133682006284624,7543153588840145,6230153823150446,5146150707977145,4251119666889292,3512048249003291,2901704430760001,2397621895048194,1981263941245632,1637334481301433,1353210167193913,1118472290707896,924520875233711,764256487010505,631817849567056,522365448255186,431903042339776,357130426295529,295321954116214,244226305200239,
24,93227237781524777,77002930861843686,63607658072259214,52547063971205123,43413381964920499,35870228376080354,29640074552929908,24493923844952763,20242804178063471,16730755929060180,13829051498300179,11431429603251985,9450165662006353,7812831180704920,6459621013511007,5341148722803111,4416627847569400,3652371360558895,3020553510991839,2498188062736653,2066285020396877,1709154594101348,1413832639985134,1169606334784895
