regime,A_count,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20
1,2,,,,,,,,,,,,,,,,,,,,
2,14,12,,,,,,,,,,,,,,,,,,,
3,79,65,53,,,,,,,,,,,,,,,,,,
4,467,388,323,270,,,,,,,,,,,,,,,,,
5,2948,2481,2093,1770,1500,,,,,,,,,,,,,,,,
6,19488,16540,14059,11966,10196,8696,,,,,,,,,,,,,,,
7,132611,113123,96583,82524,70558,60362,51666,,,,,,,,,,,,,,
8,922260,789649,676526,579943,497419,426861,366499,314833,,,,,,,,,,,,,
9,6525682,5603422,4813773,4137247,3557304,3059885,2633024,2266525,1951692,,,,,,,,,,,,
10,46796475,40270793,34667371,29853598,25716351,22159047,19099162,16466138,14199613,12247921,,,,,,,,,,,
11,339215778,292419303,252148510,217481139,187627541,161911190,139752143,120652981,104186843,89987230,77739309,,,,,,,,,,
12,2480782709,2141566931,1849147628,1596999118,1379517979,1191890438,1029979248,890227105,769574124,665387281,575400051,497660742,,,,,,,,,
13,18277509435,15796726726,13655159795,11806012167,10209013049,8829495070,7637604632,6607625384,5717398279,4947824155,4282436874,3707036823,3209376081,,,,,,,,
14,135509126283,117231616848,101434890122,87779730327,75973718160,65764705111,56935210041,49297605409,42689980025,36972581746,32024757591,27742320717,24035283894,20825907813,,,,,,,
15,1010085751949,874576625666,757345008818,655910118696,568130388369,492156670209,426391965098,369456755057,320159149648,277469169623,240496587877,208471830286,180729509569,156694225675,135868317862,,,,,,
16,7564442077288,6554356325339,5679779699673,4922434690855,4266524572159,3698394183790,3206237513581,2779845548483,2410388793426,2090229643778,1812760474155,1572263886278,1363792055992,1183062546423,1026368320748,890500002886,,,,,
17,56881711051834,49317268974546,42762912649207,37083132949534,32160698258679,27894173686520,24195779502730,20989541989149,18209696440666,15799307647240,13709078003462,11896317529307,10324053643029,8960261587037,7777199040614,6750830719866,5860330716980,,,,
18,429277304989480,372395593937646,323078324963100,280315412313893,243232279364359,211071581105680,183177407419160,158981627916430,137992085927281,119782389486615,103983081839375,90274003835913,78377686306606,68053632663577,59093371076540,51316172035926,44565341316060,38705010599080,,,
19,3250120979809180,2820843674819700,2448448080882054,2125369755918954,1845054343605061,1601822064240702,1390750483135022,1207573075715862,1048591447799432,910599361872151,790816972385536,686833890546161,596559886710248,518182200403642,450128567740065,391035196663525,339719024627599,295153683311539,256448672712459,,
20,24678083312239366,21427962332430186,18607118657610486,16158670576728432,14033300820809478,12188246477204417,10586424412963715,9195673929828693,7988100854112831,6939509406313399,6028910044441248,5238093072055712,4551259181509551,3954699294799303,3436517094395661,2986388526655596,2595353329992071,2255634305364472,1960480622052933,1704031949340474,
21,187866517356486054,163188434044246688,141760471711816502,123153353054206016,106994682477477584,92961381656668106,80773135179463689,70186710766499974,60991036836671281,53002935982558450,46063426576245051,40034516531803803,34796423459748091,30245164278238540,26290464983439237,22853947889043576,19867559362387980,17272206032395909,15016571727031437,13056091104978504,11352059155638030
