regime,A_count,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20,delta_21,delta_22,delta_23,delta_24,delta_25,delta_26
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,5,,,,,,,,,,,,,,,,,,,,,,,,,
3,21,15,10,,,,,,,,,,,,,,,,,,,,,,,,
4,84,63,48,38,,,,,,,,,,,,,,,,,,,,,,,
5,331,247,184,136,98,,,,,,,,,,,,,,,,,,,,,,
6,1376,1045,798,614,478,380,,,,,,,,,,,,,,,,,,,,,
7,5850,4474,3429,2631,2017,1539,1159,,,,,,,,,,,,,,,,,,,,
8,25447,19597,15123,11694,9063,7046,5507,4348,,,,,,,,,,,,,,,,,,,
9,112595,87148,67551,52428,40734,31671,24625,19118,14770,,,,,,,,,,,,,,,,,,
10,504420,391825,304677,237126,184698,143964,112293,87668,68550,53780,,,,,,,,,,,,,,,,,
11,2284725,1780305,1388480,1083803,846677,661979,518015,405722,318054,249504,195724,,,,,,,,,,,,,,,,
12,10441007,8156282,6375977,4987497,3903694,3057017,2395038,1877023,1471301,1153247,903743,708019,,,,,,,,,,,,,,,
13,48068720,37627713,29471431,23095454,18107957,14204263,11147246,8752208,6875185,5403884,4250637,3346894,2638875,,,,,,,,,,,,,,
14,222696071,174627351,136999638,107528207,84432753,66324796,52120533,40973287,32221079,25345894,19942010,15691373,12344479,9705604,,,,,,,,,,,,,
15,1037312834,814616763,639989412,502989774,395461567,311028814,244704018,192583485,151610198,119389119,94043225,74101215,58409842,46065363,36359759,,,,,,,,,,,,
16,4854508493,3817195659,3002578896,2362589484,1859599710,1464138143,1153109329,908405311,715821826,564211628,444822509,350779284,276678069,218268227,172202864,135843105,,,,,,,,,,,
17,22812078022,17957569529,14140373870,11137794974,8775205490,6915605780,5451467637,4298358308,3389952997,2674131171,2109919543,1665097034,1314317750,1037639681,819371454,647168590,511325485,,,,,,,,,,
18,107587021274,84774943252,66817373723,52676999853,41539204879,32763999389,25848393609,20396925972,16098567664,12708614667,10034483496,7924563953,6259466919,4945149169,3907509488,3088138034,2440969444,1929643959,,,,,,,,,
19,509045864266,401458842992,316683899740,249866526017,197189526164,155650321285,122886321896,97037928287,76641002315,60542434651,47833819984,37799336488,29874772535,23615305616,18670156447,14762646959,11674508925,9233539481,7303895522,,,,,,,,
20,2415508758866,1906462894600,1505004051608,1188320151868,938453625851,741264099687,585613778402,462727456506,365689528219,289048525904,228506091253,180672271269,142872934781,112998162246,89382856630,70712700183,55950053224,44275544299,35042004818,27738109296,,,,,,,
21,11491860460832,9076351701966,7169888807366,5664884755758,4476564603890,3538110978039,2796846878352,2211233099950,1748505643444,1382816115225,1093767589321,865261498068,684589226799,541716292018,428718129772,339335273142,268622572959,212672519735,168396975436,133354970618,105616861322,,,,,,
22,54801811563343,43309951102511,34233599400545,27063710593179,21398825837421,16922261233531,13384150255492,10587303377140,8376070277190,6627564633746,5244748518521,4150980929200,3285719431132,2601130204333,2059413912315,1630695782543,1291360509401,1022737936442,810065416707,641668441271,508313470653,402696609331,,,,,
23,261896523844391,207094712281048,163784761178537,129551161777992,102487451184813,81088625347392,64166364113861,50782213858369,40194910481229,31818840204039,25191275570293,19946527051772,15795546122572,12509826691440,9908696487107,7849282574792,6218586792249,4927226282848,3904488346406,3094422929699,2452754488428,1944441017775,1541744408444,,,,
24,1254048316456280,992151792611889,785057080330841,621272319152304,491721157374312,389233706189499,308145080842107,243978716728246,193196502869877,153001592388648,121182752184609,95991476614316,76044949562544,60249403439972,47739576748532,37830880261425,29981597686633,23763010894384,18835784611536,14931296265130,11836873335431,9384118847003,7439677829228,5897933420784,,,
25,6015586711332497,4761538394876217,3769386602264328,2984329521933487,2363057202781183,1871336045406871,1482102339217372,1173957258375265,929978541647019,736782038777142,583780446388494,462597694203885,366606217589569,290561268027025,230311864587053,182572287838521,144741407577096,114759809890463,90996798996079,72161014384543,57229718119413,45392844783982,36008725936979,28569048107751,22671114686967,,
26,28904057691083225,22888470979750728,18126932584874511,14357545982610183,11373216460676696,9010159257895513,7138823212488642,5656720873271270,4482763614896005,3552785073248986,2816003034471844,2232222588083350,1769624893879465,1403018676289896,1112457408262871,882145543675818,699573255837297,554831848260201,440072038369738,349075239373659,276914224989116,219684506869703,174291662085721,138282936148742,109713888040991,87042773354024,
27,139091885362685824,110187827671602599,87299356691851871,69172424106977360,54814878124367177,43441661663690481,34431502405794968,27292679193306326,21635958320035056,17153194705139051,13600409631890065,10784406597418221,8552184009334871,6782559115455406,5379540439165510,4267083030902639,3384937487226821,2685364231389524,2130532383129323,1690460344759585,1341385105385926,1064470880396810,844786373527107,670494711441386,532211775292644,422497887251653,335455113897629
