Regime,P_count,P_Δ1,P_Δ2,P_Δ3,P_Δ4,P_Δ5,P_Δ6,P_Δ7,P_Δ8,P_Δ9,P_Δ10,P_Δ11,P_Δ12,P_Δ13,P_Δ14,P_Δ15,P_Δ16,P_Δ17,│,C_count,C_Δ1,C_Δ2,C_Δ3,C_Δ4,C_Δ5,C_Δ6,C_Δ7,C_Δ8,C_Δ9,C_Δ10,C_Δ11,C_Δ12,C_Δ13,C_Δ14,C_Δ15,C_Δ16,C_Δ17,│,C-P_count,(C-P)_Δ1,(C-P)_Δ2,(C-P)_Δ3,(C-P)_Δ4,(C-P)_Δ5,(C-P)_Δ6,(C-P)_Δ7,(C-P)_Δ8,(C-P)_Δ9,(C-P)_Δ10,(C-P)_Δ11,(C-P)_Δ12,(C-P)_Δ13,(C-P)_Δ14,(C-P)_Δ15,(C-P)_Δ16,(C-P)_Δ17,│,Interval,P+C,Gap
1,0,,,,,,,,,,,,,,,,,,│,1,,,,,,,,,,,,,,,,,,│,1,,,,,,,,,,,,,,,,,,│,1,1,0
2,0,0,,,,,,,,,,,,,,,,,│,2,1,,,,,,,,,,,,,,,,,│,2,1,,,,,,,,,,,,,,,,,│,2,2,0
3,2,2,2,,,,,,,,,,,,,,,,│,2,0,-1,,,,,,,,,,,,,,,,│,0,-2,-3,,,,,,,,,,,,,,,,│,4,4,0
4,2,0,-2,-4,,,,,,,,,,,,,,,│,6,4,4,5,,,,,,,,,,,,,,,│,4,4,6,9,,,,,,,,,,,,,,,│,8,8,0
5,5,3,3,5,9,,,,,,,,,,,,,,│,11,5,1,-3,-8,,,,,,,,,,,,,,│,6,2,-2,-8,-17,,,,,,,,,,,,,,│,16,16,0
6,7,2,-1,-4,-9,-18,,,,,,,,,,,,,│,25,14,9,8,11,19,,,,,,,,,,,,,│,18,12,10,12,20,37,,,,,,,,,,,,,│,32,32,0
7,13,6,4,5,9,18,36,,,,,,,,,,,,│,51,26,12,3,-5,-16,-35,,,,,,,,,,,,│,38,20,8,-2,-14,-34,-71,,,,,,,,,,,,│,64,64,0
8,23,10,4,0,-5,-14,-32,-68,,,,,,,,,,,│,105,54,28,16,13,18,34,69,,,,,,,,,,,│,82,44,24,16,18,32,66,137,,,,,,,,,,,│,128,128,0
9,43,20,10,6,6,11,25,57,125,,,,,,,,,,│,213,108,54,26,10,-3,-21,-55,-124,,,,,,,,,,│,170,88,44,20,4,-14,-46,-112,-249,,,,,,,,,,│,256,256,0
10,75,32,12,2,-4,-10,-21,-46,-103,-228,,,,,,,,,│,437,224,116,62,36,26,29,50,105,229,,,,,,,,,│,362,192,104,60,40,36,50,96,208,457,,,,,,,,,│,512,512,0
11,137,62,30,18,16,20,30,51,97,200,428,,,,,,,,│,887,450,226,110,48,12,-14,-43,-93,-198,-427,,,,,,,,│,750,388,196,92,32,-8,-44,-94,-190,-398,-855,,,,,,,,│,1024,1024,0
