regime,A_count,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20,delta_21,delta_22,delta_23,delta_24,delta_25,delta_26,delta_27,delta_28,delta_29,delta_30,delta_31
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,12,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,36,24,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,118,82,58,45,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,392,274,192,134,89,47,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1336,944,670,478,344,255,208,,,,,,,,,,,,,,,,,,,,,,,,,
8,4642,3306,2362,1692,1214,870,615,407,,,,,,,,,,,,,,,,,,,,,,,,
9,16458,11816,8510,6148,4456,3242,2372,1757,1350,,,,,,,,,,,,,,,,,,,,,,,
10,59025,42567,30751,22241,16093,11637,8395,6023,4266,2916,,,,,,,,,,,,,,,,,,,,,,
11,213922,154897,112330,81579,59338,43245,31608,23213,17190,12924,10008,,,,,,,,,,,,,,,,,,,,,
12,781924,568002,413105,300775,219196,159858,116613,85005,61792,44602,31678,21670,,,,,,,,,,,,,,,,,,,,
13,2879938,2098014,1530012,1116907,816132,596936,437078,320465,235460,173668,129066,97388,75718,,,,,,,,,,,,,,,,,,,
14,10673034,7793096,5695082,4165070,3048163,2232031,1635095,1198017,877552,642092,468424,339358,241970,166252,,,,,,,,,,,,,,,,,,
15,39769185,29096151,21303055,15607973,11442903,8394740,6162709,4527614,3329597,2452045,1809953,1341529,1002171,760201,593949,,,,,,,,,,,,,,,,,
16,148880193,109111008,80014857,58711802,43103829,31660926,23266186,17103477,12575863,9246266,6794221,4984268,3642739,2640568,1880367,1286418,,,,,,,,,,,,,,,,
17,559658890,410778697,301667689,221652832,162941030,119837201,88176275,64910089,47806612,35230749,25984483,19190262,14205994,10563255,7922687,6042320,4755902,,,,,,,,,,,,,,,
18,2111459404,1551800514,1141021817,839354128,617701296,454760266,334923065,246746790,181836701,134030089,98799340,72814857,53624595,39418601,28855346,20932659,14890339,10134437,,,,,,,,,,,,,,
19,7991867657,5880408253,4328607739,3187585922,2348231794,1730530498,1275770232,940847167,694100377,512263676,378233587,279434247,206619390,152994795,113576194,84720848,63788189,48897850,38763413,,,,,,,,,,,,,
20,30336822624,22344954967,16464546714,12135938975,8948353053,6600121259,4869590761,3593820529,2652973362,1958872985,1446609309,1068375722,788941475,582322085,429327290,315751096,231030248,167242059,118344209,79580796,,,,,,,,,,,,
21,115457945437,85121122813,62776167846,46311621132,34175682157,25227329104,18627207845,13757617084,10163796555,7510823193,5551950208,4105340899,3036965177,2248023702,1665701617,1236374327,920623231,689592983,522350924,404006715,324425919,,,,,,,,,,,
22,440455347499,324997402062,239876279249,177100111403,130788490271,96612808114,71385479010,52758271165,39000654081,28836857526,21326034333,15774084125,11668743226,8631778049,6383754347,4718052730,3481678403,2561055172,1871462189,1349111265,945104550,620678631,,,,,,,,,,
23,1683882372217,1243427024718,918429622656,678553343407,501453232004,370664741733,274051933619,202666454609,149908183444,110907529363,82070671837,60744637504,44970553379,33301810153,24670032104,18286277757,13568225027,10086546624,7525491452,5654029263,4304917998,3359813448,2739134817,,,,,,,,,
24,6450190109521,4766307737304,3522880712586,2604451089930,1925897746523,1424444514519,1053779772786,779727839167,577061384558,427153201114,316245671751,234174999914,173430362410,128459809031,95157998878,70487966774,52201689017,38633463990,28546917366,21021425914,15367396651,11062478653,7702665205,4963530388,,,,,,,,
25,24752190739937,18302000630416,13535692893112,10012812180526,7408361090596,5482463344073,4058018829554,3004239056768,2224511217601,1647449833043,1220296631929,904050960178,669875960264,496445597854,367985788823,272827789945,202339823171,150138134154,111504670164,82957752798,61936326884,46568930233,35506451580,27803786375,22840255987,,,,,,,
26,95142124007068,70389933267131,52087932636715,38552239743603,28539427563077,21131066472481,15648603128408,11590584298854,8586345242086,6361834024485,4714384191442,3494087559513,2590036599335,1920160639071,1423715041217,1055729252394,782901462449,580561639278,430423505124,318918834960,235961082162,174024755278,127455825045,91949373465,64145587090,41305331103,,,,,,
27,366264701294309,271122577287241,200732644020110,148644711383395,110092471639792,81553044076715,60421977604234,44773374475826,33182790176972,24596444934886,18234610910401,13520226718959,10026139159446,7436102560111,5515941921040,4092226879823,3036497627429,2253596164980,1673034525702,1242611020578,923692185618,687731103456,513706348178,386250523133,294301149668,230155562578,188850231475,,,,,
28,1411989176124066,1045724474829757,774601897542516,573869253522406,425224542139011,315132070499219,233579026422504,173157048818270,128383674342444,95200884165472,70604439230586,52369828320185,38849601601226,28823462441780,21387359881669,15871417960629,11779191080806,8742693453377,6489097288397,4816062762695,3573451742117,2649759556499,1962028453043,1448322104865,1062071581732,767770432064,537614869486,348764638011,,,,
29,5450520886815140,4038531710691074,2992807235861317,2218205338318801,1644336084796395,1219111542657384,903979472158165,670400445735661,497243396917391,368859722574947,273658838409475,203054399178889,150684570858704,111834969257478,83011506815698,61624146934029,45752728973400,33973537892594,25230844439217,18741747150820,13925684388125,10352232646008,7702473089509,5740444636466,4292122531601,3230050949869,2462280517805,1924665648319,1575901010308,,,
30,21065694229109340,15615173342294200,11576641631603126,8583834395741809,6365629057423008,4721292972626613,3502181429969229,2598201957811064,1927801512075403,1430558115158012,1061698392583065,788039554173590,584985154994701,434300584135997,322465614878519,239454108062821,177829961128792,132077232155392,98103694262798,72872849823581,54131102672761,40205418284636,29853185638628,22150712549119,16410267912653,12118145381052,8888094431183,6425813913378,4501148265059,2925247254751,,
31,81509713088516643,60444018859407303,44828845517113103,33252203885509977,24668369489768168,18302740432345160,13581447459718547,10079266029749318,7481064071938254,5553262559862851,4122704444704839,3061006052121774,2272966497948184,1687981342953483,1253680758817486,931215143938967,691761035876146,513931074747354,381853842591962,283750148329164,210877298505583,156746195832822,116540777548186,86687591909558,64536879360439,48126611447786,36008466066734,27120371635551,20694557722173,16193409457114,13268162202363,
32,315723476449747770,234213763361231127,173769744501823824,128940898984710721,95688695099200744,71020325609432576,52717585177087416,39136137717368869,29056871687619551,21575807615681297,16022545055818446,11899840611113607,8838834558991833,6565868061043649,4877886718090166,3624205959272680,2692990815333713,2001229779457567,1487298704710213,1105444862118251,821694713789087,610817415283504,454071219450682,337530441902496,250842849992938,186305970632499,138179359184713,102170893117979,75050521482428,54355963760255,38162554303141,24894392100778
