regime,A_count,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20,delta_21,delta_22,delta_23,delta_24,delta_25,delta_26,delta_27,delta_28,delta_29,delta_30,delta_31
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,13,8,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,31,18,10,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,76,45,27,17,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,
7,198,122,77,50,33,22,16,,,,,,,,,,,,,,,,,,,,,,,,,
8,520,322,200,123,73,40,18,2,,,,,,,,,,,,,,,,,,,,,,,,
9,1380,860,538,338,215,142,102,84,82,,,,,,,,,,,,,,,,,,,,,,,
10,3741,2361,1501,963,625,410,268,166,82,0,,,,,,,,,,,,,,,,,,,,,,
11,10129,6388,4027,2526,1563,938,528,260,94,12,12,,,,,,,,,,,,,,,,,,,,,
12,27837,17708,11320,7293,4767,3204,2266,1738,1478,1384,1372,1360,,,,,,,,,,,,,,,,,,,,
13,76805,48968,31260,19940,12647,7880,4676,2410,672,-806,-2190,-3562,-4922,,,,,,,,,,,,,,,,,,,
14,213610,136805,87837,56577,36637,23990,16110,11434,9024,8352,9158,11348,14910,19832,,,,,,,,,,,,,,,,,,
15,596911,383301,246496,158659,102082,65445,41455,25345,13911,4887,-3465,-12623,-23971,-38881,-58713,,,,,,,,,,,,,,,,,
16,1675905,1078994,695693,449197,290538,188456,123011,81556,56211,42300,37413,40878,53501,77472,116353,175066,,,,,,,,,,,,,,,,
17,4724994,3049089,1970095,1274402,825205,534667,346211,223200,141644,85433,43133,5720,-35158,-88659,-166131,-282484,-457550,,,,,,,,,,,,,,,
18,13368647,8643653,5594564,3624469,2350067,1524862,990195,643984,420784,279140,193707,150574,144854,180012,268671,434802,717286,1174836,,,,,,,,,,,,,,
19,37947482,24578835,15935182,10340618,6716149,4366082,2841220,1851025,1207041,786257,507117,313410,162836,17982,-162030,-430701,-865503,-1582789,-2757625,,,,,,,,,,,,,
20,108029690,70082208,45503373,29568191,19227573,12511424,8145342,5304122,3453097,2246056,1459799,952682,639272,476436,458454,620484,1051185,1916688,3499477,6257102,,,,,,,,,,,,
21,308345825,200316135,130233927,84730554,55162363,35934790,23423366,15278024,9973902,6520805,4274749,2814950,1862268,1222996,746560,288106,-332378,-1383563,-3300251,-6799728,-13056830,,,,,,,,,,,
22,882177037,573831212,373515077,243281150,158550596,103388233,67453443,44030077,28752053,18778151,12257346,7982597,5167647,3305379,2082383,1335823,1047717,1380095,2763658,6063909,12863637,25920467,,,,,,,,,,
23,2529347318,1647170281,1073339069,699823992,456542842,297992246,194604013,127150570,83120493,54368440,35590289,23332943,15350346,10182699,6877320,4794937,3459114,2411397,1031302,-1732356,-7796265,-20659902,-46580369,,,,,,,,,
24,7266270535,4736923217,3089752936,2016413867,1316589875,860047033,562054787,367450774,240300204,157179711,102811271,67220982,43888039,28537693,18354994,11477674,6682737,3223623,812226,-219076,1513280,9309545,29969447,76549816,,,,,,,,
25,20912111193,13645840658,8908917441,5819164505,3802750638,2486160763,1626113730,1064058943,696608169,456307965,299128254,196316983,129096001,85207962,56670269,38315275,26837601,20154864,16931241,16119015,16338091,14824811,5515266,-24454181,-101003997,,,,,,,
26,60284108632,39371997439,25726156781,16817239340,10998074835,7195324197,4709163434,3083049704,2018990761,1322382592,866074627,566946373,370629390,241533389,156325427,99655158,61339883,34502282,14347418,-2583823,-18702838,-35040929,-49865740,-55381006,-30926825,70077172,,,,,,
27,174049197968,113765089336,74393091897,48666935116,31849695776,20851620941,13656296744,8947133310,5864083606,3845092845,2522710253,1656635626,1089689253,719059863,477526474,321201047,221545889,160206006,125703724,111356306,113940129,132642967,167683896,217549636,272930642,303857467,233780295,,,,,
28,503218277350,329169079382,215403990046,141010898149,92343963033,60494267257,39642646316,25986349572,17039216262,11175132656,7330039811,4807329558,3150693932,2061004679,1341944816,864418342,543217295,321671406,161465400,35761676,-75594630,-189534759,-322177726,-489861622,-707411258,-980341900,-1284199367,-1517979662,,,,
29,1456840566871,953622289521,624453210139,409049220093,268038321944,175694358911,115200091654,75557445338,49571095766,32531879504,21356746848,14026707037,9219377479,6068683547,4007678868,2665734052,1801315710,1258098415,936427009,774961609,739199933,814794563,1004329322,1326507048,1816368670,2523779928,3504121828,4788321195,6306300857,,,
30,4222790593589,2765950026718,1812327737197,1187874527058,778825306965,510786985021,335092626110,219892534456,144335089118,94763993352,62232113848,40875367000,26848659963,17629282484,11560598937,7552920069,4887186017,3085870307,1827771892,891344883,116383274,-622816659,-1437611222,-2441940544,-3768447592,-5584816262,-8108596190,-11612718018,-16401039213,-22707340070,,
31,12254164026373,8031373432784,5265423406066,3453095668869,2265221141811,1486395834846,975608849825,640516223715,420623689259,276288600141,181524606789,119292492941,78417125941,51568465978,33939183494,22378584557,14825664488,9938478471,6852608164,5024836272,4133491389,4017108115,4639924774,6077535996,8519476540,12287924132,17872740394,25981336584,37594054602,53995093815,76702433885,
32,35598556455398,23344392429025,15313018996241,10047595590175,6594499921306,4329278779495,2842882944649,1867274094824,1226757871109,806134181850,529845581709,348320974920,229028481979,150611356038,99042890060,65103706566,42725122009,27899457521,17960979050,11108370886,6083534614,1950043225,-2067064890,-6706989664,-12784525660,-21304002200,-33591926332,-51464666726,-77446003310,-115040057912,-169035151727,-245737585612
