regime,A_count,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20,delta_21,delta_22,delta_23,delta_24,delta_25,delta_26,delta_27,delta_28,delta_29,delta_30,delta_31,delta_32,delta_33,delta_34,delta_35,delta_36,delta_37,delta_38,delta_39,delta_40,delta_41,delta_42,delta_43,delta_44,delta_45,delta_46,delta_47,delta_48,delta_49,delta_50,delta_51,delta_52,delta_53,delta_54,delta_55,delta_56,delta_57,delta_58,delta_59,delta_60,delta_61,delta_62,delta_63
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,0,-2,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,3,3,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,2,-1,-4,-9,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,13,6,4,5,9,18,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,23,10,4,0,-5,-14,-32,-68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,43,20,10,6,6,11,25,57,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,75,32,12,2,-4,-10,-21,-46,-103,-228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,137,62,30,18,16,20,30,51,97,200,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,255,118,56,26,8,-8,-28,-58,-109,-206,-406,-834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,464,209,91,35,9,1,9,37,95,204,410,816,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,872,408,199,108,73,64,63,54,17,-78,-282,-692,-1508,-3158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1612,740,332,133,25,-48,-112,-175,-229,-246,-168,114,806,2314,5472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,3030,1418,678,346,213,188,236,348,523,752,998,1166,1052,246,-2068,-7540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,5709,2679,1261,583,237,24,-164,-400,-748,-1271,-2023,-3021,-4187,-5239,-5485,-3417,4123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,10749,5040,2361,1100,517,280,256,420,820,1568,2839,4862,7883,12070,17309,22794,26211,22088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20390,9641,4601,2240,1140,623,343,87,-333,-1153,-2721,-5560,-10422,-18305,-30375,-47684,-70478,-96689,-118777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,38635,18245,8604,4003,1763,623,0,-343,-430,-97,1056,3777,9337,19759,38064,68439,116123,186601,283290,402067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,73586,34951,16706,8102,4099,2336,1713,1713,2056,2486,2583,1527,-2250,-11587,-31346,-69410,-137849,-253972,-440573,-723863,-1125930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,140336,66750,31799,15093,6991,2892,556,-1157,-2870,-4926,-7412,-9995,-11522,-9272,2315,33661,103071,240920,494892,935465,1659328,2785258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,268216,127880,61130,29331,14238,7247,4355,3799,4956,7826,12752,20164,30159,41681,50953,48638,14977,-88094,-329014,-823906,-1759371,-3418699,-6203957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,513708,245492,117612,56482,27151,12913,5666,1311,-2488,-7444,-15270,-28022,-48186,-78345,-120026,-170979,-219617,-234594,-146500,182514,1006420,2765791,6184490,12388447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,985818,472110,226618,109006,52524,25373,12460,6794,5483,7971,15415,30685,58707,106893,185238,305264,476243,695860,930454,1076954,894440,-111980,-2877771,-9062261,-21450708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1894120,908302,436192,209574,100568,48044,22671,10211,3417,-2066,-10037,-25452,-56137,-114844,-221737,-406975,-712239,-1188482,-1884342,-2814796,-3891750,-4786190,-4674210,-1796439,7265822,28716530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,3645744,1751624,843322,407130,197556,96988,48944,26273,16062,12645,14711,24748,50200,106337,221181,442918,849893,1562132,2750614,4634956,7449752,11341502,16127692,20801902,22598341,15332519,-13384011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,7027290,3381546,1629922,786600,379470,181914,84926,35982,9709,-6353,-18998,-33709,-58457,-108657,-214994,-436175,-879093,-1728986,-3291118,-6041732,-10676688,-18126440,-29467942,-45595634,-66397536,-88995877,-104328396,-90944385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,13561907,6534617,3153071,1523149,736549,357079,175165,90239,54257,44548,50901,69899,103608,162065,270722,485716,921891,1800984,3529970,6821088,12862820,23539508,41665948,71133890,116729524,183127060,272122937,376451333,467395718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,26207278,12645371,6110754,2957683,1434534,697985,340906,165741,75502,21245,-23303,-74204,-144103,-247711,-409776,-680498,-1166214,-2088105,-3889089,-7419059,-14240147,-27102967,-50642475,-92308423,-163442313,-280171837,-463298897,-735421834,-1111873167,-1579268885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,50697537,24490259,11844888,5734134,2776451,1341917,643932,303026,137285,61783,40538,63841,138045,282148,529859,939635,1620133,2786347,4874452,8763541,16182600,30422747,57525714,108168189,200476612,363918925,644090762,1107389659,1842811493,2954684660,4533953545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,98182656,47485119,22994860,11149972,5415838,2639387,1297470,653538,350512,213227,151444,110906,47065,-90980,-373128,-902987,-1842622,-3462755,-6249102,-11123554,-19887095,-36069695,-66492442,-124018156,-232186345,-432662957,-796581882,-1440672644,-2548062303,-4390873796,-7345558456,-11879512001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,190335585,92152929,44667810,21672950,10522978,5107140,2467753,1170283,516745,166233,-46994,-198438,-309344,-356409,-265429,107699,1010686,2853308,6316063,12565165,23688719,43575814,79645509,146137951,270156107,502342452,935005409,1731587291,3172259935,5720322238,10111196034,17456754490,29336266491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,369323305,178987720,86834791,42166981,20494031,9971053,4863913,2396160,1225877,709132,542899,589893,788331,1097675,1454084,1719513,1611814,601128,-2252180,-8568243,-21133408,-44822127,-88397941,-168043450,-314181401,-584337508,-1086679960,-2021685369,-3753272660,-6925532595,-12645854833,-22757050867,-40213805357,-69550071848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,717267168,347943863,168956143,82121352,39954371,19460340,9489287,4625374,2229214,1003337,294205,-248694,-838587,-1626918,-2724593,-4178677,-5898190,-7510004,-8111132,-5858952,2709291,23842699,68664826,157062767,325106217,639287618,1223625126,2310305086,4331990455,8085263115,15010795710,27656650543,50413701410,90627506767,160177578615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1394192236,676925068,328981205,160025062,77903710,37949339,18488999,8999712,4374338,2145124,1141787,847582,1096276,1934863,3561781,6286374,10465051,16363241,23873245,31984377,37843329,35134038,11291339,-57373487,-214436254,-539542471,-1178830089,-2402455215,-4712760301,-9044750756,-17130013871,-32140809581,-59797460124,-110211161534,-200838668301,-361016246916,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2712103833,1317911597,640986529,312005324,151980262,74076552,36127213,17638214,8638502,4264164,2119040,977253,129671,-966605,-2901468,-6463249,-12749623,-23214674,-39577915,-63451160,-95435537,-133278866,-168412904,-179704243,-122330756,92105498,631647969,1810478058,4212933273,8925693574,17970444330,35100458201,67241267782,127038727906,237249889440,438088557741,799104804657,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,5279763824,2567659991,1249748394,608761865,296756541,144776279,70699727,34572514,16934300,8295798,4031634,1912594,935341,805670,1772275,4673743,11136992,23886615,47101289,86679204,150130364,245565901,378844767,547257671,726961914,849292670,757187172,125539203,-1684938855,-5897872128,-14823565702,-32794010032,-67894468233,-135135736015,-262174463921,-499424353361,-937512911102,-1736617715759,,,,,,,,,,,,,,,,,,,,,,,,,,
39,10285641778,5005877954,2438217963,1188469569,579707704,282951163,138174884,67475157,32902643,15968343,7672545,3640911,1728317,792976,-12694,-1784969,-6458712,-17595704,-41482319,-88583608,-175262812,-325393176,-570959077,-949803844,-1497061515,-2224023429,-3073316099,-3830503271,-3956042474,-2271103619,3626768509,18450334211,51244344243,119138812476,254274548491,516449012412,1015873365773,1953386276875,3690003992634,,,,,,,,,,,,,,,,,,,,,,,,,
40,20051180846,9765539068,4759661114,2321443151,1132973582,553265878,270314715,132139831,64664674,31762031,15793688,8121143,4480232,2751915,1958939,1971633,3756602,10215314,27811018,69293337,157876945,333139757,658532933,1229492010,2179295854,3676357369,5900380798,8973696897,12804200168,16760242642,19031346261,15404577752,-3045756459,-54290100702,-173428913178,-427703461669,-944152474081,-1960025839854,-3913412116729,-7603416109363,,,,,,,,,,,,,,,,,,,,,,,,
41,39113482640,19062301794,9296762726,4537101612,2215658461,1082684879,529419001,259104286,126964455,62299781,30537750,14744062,6622919,2142687,-609228,-2568167,-4539800,-8296402,-18511716,-46322734,-115616071,-273493016,-606632773,-1265165706,-2494657716,-4673953570,-8350310939,-14250691737,-23224388634,-36028588802,-52788831444,-71820177705,-87224755457,-84178998998,-29888898296,143540014882,571243476551,1515395950632,3475421790486,7388833907215,14992250016578,,,,,,,,,,,,,,,,,,,,,,,
42,76344462797,37230980157,18168678363,8871915637,4334814025,2119155564,1036470685,507051684,247947398,120982943,58683162,28145412,13401350,6778431,4635744,5244972,7813139,12352939,20649341,39161057,85483791,201099862,474592878,1081225651,2346391357,4841049073,9515002643,17865313582,32116005319,55340393953,91368982755,144157814199,215977991904,303202747361,387381746359,417270644655,273730629773,-297512846778,-1812908797410,-5288330587896,-12677164495111,-27669414511689,,,,,,,,,,,,,,,,,,,,,,
43,149100679004,72756216207,35525236050,17356557687,8484642050,4149828025,2030672461,994201776,487150092,239202694,118219751,59536589,31391177,17989827,11211396,6575652,1330680,-6482459,-18835398,-39484739,-78645796,-164129587,-365229449,-839822327,-1921047978,-4267439335,-9108488408,-18623491051,-36488804633,-68604809952,-123945203905,-215314186660,-359472000859,-575449992763,-878652740124,-1266034486483,-1683305131138,-1957035760911,-1659522914133,153385883277,5441716471173,18118880966284,45788295477973,,,,,,,,,,,,,,,,,,,,,
