x,pi2
10000000,58980
20000000,107407
30000000,152891
40000000,196753
50000000,239101
60000000,280558
70000000,321466
80000000,361450
90000000,401090
100000000,440312
110000000,479129
120000000,517360
130000000,555376
140000000,593174
150000000,630392
160000000,667529
170000000,704104
180000000,740685
190000000,777052
200000000,813371
210000000,849331
220000000,884979
230000000,920557
240000000,956210
250000000,991446
260000000,1026583
270000000,1061743
280000000,1096722
290000000,1131791
300000000,1166480
310000000,1201177
320000000,1235712
330000000,1270140
340000000,1304395
350000000,1338542
360000000,1372352
370000000,1406264
380000000,1440182
390000000,1474067
400000000,1507733
410000000,1541276
420000000,1574914
430000000,1608322
440000000,1641886
450000000,1675221
460000000,1708469
470000000,1741415
480000000,1774572
490000000,1807357
500000000,1840170
510000000,1872959
520000000,1905751
530000000,1938558
540000000,1971327
550000000,2004010
560000000,2036570
570000000,2069096
580000000,2101553
590000000,2134018
600000000,2166301
610000000,2198552
620000000,2231005
630000000,2263190
640000000,2295290
650000000,2327142
660000000,2359266
670000000,2391282
680000000,2423168
690000000,2455182
700000000,2486868
710000000,2518871
720000000,2550660
730000000,2582466
740000000,2614093
750000000,2645644
760000000,2677212
770000000,2708471
780000000,2740090
790000000,2771410
800000000,2802751
810000000,2834071
820000000,2865369
830000000,2896581
840000000,2928115
850000000,2959253
860000000,2990443
870000000,3021758
880000000,3052924
890000000,3084023
900000000,3115262
910000000,3146431
920000000,3177501
930000000,3208252
940000000,3239451
950000000,3270441
960000000,3301361
970000000,3332310
980000000,3362942
990000000,3393708
1000000000,3424506
1010000000,3455210
1020000000,3486034
1030000000,3516448
1040000000,3547167
1050000000,3577758
1060000000,3608230
1070000000,3639095
1080000000,3669491
1090000000,3700094
1100000000,3730451
1110000000,3760824
1120000000,3791193
1130000000,3821525
1140000000,3852018
1150000000,3882386
1160000000,3912689
1170000000,3942982
1180000000,3973314
1190000000,4003648
1200000000,4033838
1210000000,4064160
1220000000,4094410
1230000000,4124391
1240000000,4154490
1250000000,4184625
1260000000,4214606
1270000000,4244644
1280000000,4274593
1290000000,4304545
1300000000,4334388
1310000000,4364366
1320000000,4394229
1330000000,4424181
1340000000,4454025
1350000000,4483909
1360000000,4513808
1370000000,4543558
1380000000,4573143
1390000000,4602775
1400000000,4632699
1410000000,4662449
1420000000,4692445
1430000000,4722077
1440000000,4751869
1450000000,4781577
1460000000,4811429
1470000000,4840934
1480000000,4870390
1490000000,4899935
1500000000,4929508
1510000000,4958987
1520000000,4988498
1530000000,5017712
1540000000,5047082
1550000000,5076686
1560000000,5105908
1570000000,5135252
1580000000,5165039
1590000000,5194507
1600000000,5223982
1610000000,5253482
1620000000,5282736
1630000000,5312086
1640000000,5341280
1650000000,5370271
1660000000,5399616
1670000000,5428863
1680000000,5458082
1690000000,5487523
1700000000,5516430
1710000000,5545709
1720000000,5575057
1730000000,5604333
1740000000,5633550
1750000000,5662632
1760000000,5691783
1770000000,5721107
1780000000,5750257
1790000000,5779403
1800000000,5808585
1810000000,5837813
1820000000,5866928
1830000000,5896074
1840000000,5925433
1850000000,5954463
1860000000,5983641
1870000000,6012442
1880000000,6041544
1890000000,6070535
1900000000,6099613
1910000000,6128636
1920000000,6157519
1930000000,6186332
1940000000,6215262
1950000000,6244256
1960000000,6272806
1970000000,6301640
1980000000,6330399
1990000000,6359154
2000000000,6388041
2010000000,6417131
2020000000,6445832
2030000000,6474402
2040000000,6502952
2050000000,6531522
2060000000,6560380
2070000000,6588903
2080000000,6617690
2090000000,6646466
2100000000,6674812
2110000000,6703403
2120000000,6732099
2130000000,6760804
2140000000,6789133
2150000000,6817859
2160000000,6846641
2170000000,6875091
2180000000,6903723
2190000000,6932094
2200000000,6960677
2210000000,6989228
2220000000,7017799
2230000000,7046455
2240000000,7074760
2250000000,7103261
2260000000,7131759
2270000000,7160137
2280000000,7188626
2290000000,7217243
2300000000,7245806
2310000000,7273779
2320000000,7302130
2330000000,7330488
2340000000,7358761
2350000000,7387016
2360000000,7415309
2370000000,7443720
2380000000,7471893
2390000000,7500373
2400000000,7528643
2410000000,7556863
2420000000,7585285
2430000000,7613535
2440000000,7641798
2450000000,7669993
2460000000,7698203
2470000000,7726370
2480000000,7754529
2490000000,7782774
2500000000,7810997
2510000000,7839169
2520000000,7867357
2530000000,7895655
2540000000,7923985
2550000000,7952134
2560000000,7980337
2570000000,8008454
2580000000,8036598
2590000000,8064578
2600000000,8092871
2610000000,8120866
2620000000,8149081
2630000000,8177235
2640000000,8205081
2650000000,8233275
2660000000,8261173
2670000000,8289310
2680000000,8317208
2690000000,8345329
2700000000,8373302
2710000000,8401208
2720000000,8429297
2730000000,8457126
2740000000,8484922
2750000000,8512863
2760000000,8540790
2770000000,8568895
2780000000,8596813
2790000000,8624790
2800000000,8652758
2810000000,8680924
2820000000,8708965
2830000000,8736802
2840000000,8764719
2850000000,8792649
