=== POISSON CONTROL, 400 draws, base 2's per-rung means
     d     real  poisson mean       sd  max of 400        z  draws >= real
     0    0.179         0.187    0.013       0.205     -0.6      392/400
     1    0.211         0.201    0.015       0.237      0.6      243/400
     2    0.216         0.214    0.020       0.270      0.1      300/400
     3    0.222         0.197    0.037       0.278      0.7      166/400
     4    0.257         0.139    0.050       0.257      2.4        4/400
     5    0.235         0.077    0.047       0.206      3.3        0/400
     6    0.061         0.039    0.038       0.212      0.6      131/400
     7    0.000         0.018    0.025       0.219     -0.7      400/400
     8    0.032         0.008    0.017       0.129      1.4       93/400
     9    0.000         0.005    0.013       0.067     -0.4      400/400
    10    0.000         0.002    0.008       0.034     -0.2      400/400
    11    0.000         0.001    0.006       0.036     -0.2      400/400
    12    0.000         0.000    0.003       0.037     -0.1      400/400
    13    0.000         0.000    0.004       0.038     -0.1      400/400
    14    0.000         0.000    0.003       0.040     -0.1      400/400
    15    0.000         0.000    0.002       0.042     -0.0      400/400

wrote /Users/juliansambrano/GitHub/Primebeat_081426/results/value_refraction.json
