base,r,sign_change_depth,turnaround_depth,trend_ratio_shallow,max_depth_available,trend_ratio_predicted,trend_depart_depth,turnaround_censored,min_abs_depth,min_abs_value,value_at_depth0,n_depths
2,1,,,,0,0.5,,True,0,0,0,1
2,2,,,,1,0.5,1,True,0,0,0,2
2,3,,,1.0,2,0.5,1,False,0,2,2,3
2,4,2,1,1.0,3,0.5,1,False,1,0,2,4
2,5,,,1.0888888888888888,4,0.5,1,False,1,3,5,5
2,6,2,2,1.2619047619047619,5,0.5,1,False,2,1,7,6
2,7,,2,0.7927350427350427,6,0.5,2,False,2,4,13,7
2,8,4,3,0.2782608695652174,7,0.5,1,False,3,0,23,8
2,9,,,0.5217054263565891,8,0.5,3,False,3,6,43,9
2,10,4,3,0.3227777777777778,9,0.5,1,False,3,2,75,10
2,11,,4,0.5121419040891609,10,0.5,3,False,4,16,137,11
2,12,5,,0.46720236117045694,11,0.5,4,False,4,8,255,12
2,13,,5,0.4234843725542455,12,0.5,2,False,5,1,464,13
2,14,9,8,0.4994495247117641,13,0.5,4,False,8,17,872,14
2,15,5,4,0.4361027100825002,14,0.5,2,False,4,25,1612,15
2,16,14,5,0.4854831684349208,15,0.5,4,False,5,188,3030,16
2,17,6,5,0.4674295230782321,16,0.5,4,False,5,24,5709,17
2,18,,6,0.46774582830803685,17,0.5,6,False,6,256,10749,18
2,19,8,7,0.4789710517955917,18,0.5,6,False,7,87,20390,19
2,20,7,6,0.4696900577920305,19,0.5,4,False,6,0,38635,20
2,21,12,11,0.4793089950195613,20,0.5,5,False,11,1527,73586,21
2,22,7,6,0.475557082869849,21,0.5,5,False,6,556,140336,22
2,23,17,7,0.4782065651832957,22,0.5,6,False,7,3799,268216,23
2,24,8,7,0.47906979440021863,23,0.5,6,False,7,1311,513708,24
2,25,21,8,0.47997496638515164,24,0.5,8,False,8,5483,985818,25
2,26,9,9,0.48007613369938346,25,0.5,8,False,9,2066,1894120,26
2,27,26,9,0.4815593483189809,26,0.5,8,False,9,12645,3645744,27
2,28,9,9,0.4819355856344319,27,0.5,7,False,9,6353,7027290,28
2,29,,9,0.48247422027494924,28,0.5,8,False,9,44548,13561907,29
2,30,10,9,0.48325562539390593,29,0.5,9,False,9,21245,26207278,30
2,31,,10,0.4836083893497163,30,0.5,10,False,10,40538,50697537,31
2,32,13,12,0.4842614606805471,31,0.5,9,False,12,47065,98182656,32
3,1,,,,0,0.6666666666666666,,True,0,0,0,1
3,2,,,1.0,1,0.6666666666666666,1,True,0,2,2,2
3,3,,,0.4666666666666667,2,0.6666666666666666,1,True,2,1,5,3
3,4,,,0.6801282051282053,3,0.6666666666666666,1,True,3,4,13,4
3,5,,,0.5454002389486261,4,0.6666666666666666,1,True,4,1,31,5
3,6,,,0.6072449642625081,5,0.6666666666666666,1,True,5,11,76,6
3,7,,,0.632219935498624,6,0.6666666666666666,1,True,6,10,198,7
3,8,,,0.6184495938843765,7,0.6666666666666666,3,True,7,9,520,8
3,9,,,0.625674196416676,8,0.6666666666666666,6,True,8,74,1380,9
3,10,,,0.6361448416516806,9,0.6666666666666666,8,True,9,9,3741,10
3,11,,,0.629443711693855,10,0.6666666666666666,5,True,10,2,10129,11
3,12,,,0.6398829365128282,11,0.6666666666666666,7,True,11,1371,27837,12
3,13,9,8,0.6379382069130175,12,0.6666666666666666,6,False,8,672,76805,13
3,14,,9,0.6422054192874329,13,0.6666666666666666,8,False,9,8352,213610,14
3,15,10,10,0.6429619152499199,14,0.6666666666666666,7,False,10,3465,596911,15
3,16,,10,0.6447570750513445,15,0.6666666666666666,9,False,10,37413,1675905,16
3,17,12,11,0.646103270692976,16,0.6666666666666666,9,False,11,5720,4724994,17
3,18,,12,0.6472207852920121,17,0.6666666666666666,11,False,12,144854,13368647,18
3,19,14,13,0.648317836433876,18,0.6666666666666666,12,False,13,17982,37947482,19
3,20,,14,0.6492729458688821,19,0.6666666666666666,13,False,14,458454,108029690,20
3,21,16,15,0.6501307921124321,20,0.6666666666666666,14,False,15,288106,308345825,21
3,22,,16,0.6509050382536499,21,0.6666666666666666,16,False,16,1047717,882177037,22
3,23,19,18,0.6516186490369854,22,0.6666666666666666,16,False,18,1031302,2529347318,23
3,24,19,19,0.6522630045604099,23,0.6666666666666666,16,False,19,219076,7266270535,24
3,25,23,22,0.6528613435454252,24,0.6666666666666666,17,False,22,5515266,20912111193,25
