r,d0,d1,d2,d3,d4,d5,d6
1,-0.541009,,,,,,
2,0.114351,0.655360,,,,,
3,0.525472,0.411120,-0.244240,,,,
4,-0.493753,-1.019224,-1.430345,-1.186105,,,
5,0.721362,1.215115,2.234339,3.664684,4.850789,,
6,-0.437815,-1.159177,-2.374292,-4.608631,-8.273315,-13.124104,
7,-0.083404,0.354412,1.513589,3.887881,8.496512,16.769828,29.893932
8,-0.259794,-0.176391,-0.530802,-2.044392,-5.932273,-14.428785,-31.198613
9,1.254350,1.514144,1.690535,2.221337,4.265729,10.198002,24.626787
10,-0.559460,-1.813810,-3.327954,-5.018489,-7.239826,-11.505555,-21.703557
11,-0.795300,-0.235840,1.577970,4.905924,9.924414,17.164240,28.669796
12,2.019627,2.814927,3.050767,1.472797,-3.433127,-13.357541,-30.521781
13,-3.225149,-5.244776,-8.059703,-11.110470,-12.583267,-9.150140,4.207401
14,4.497473,7.722622,12.967398,21.027102,32.137572,44.720839,53.870980
15,-6.352669,-10.850142,-18.572764,-31.540162,-52.567264,-84.704836,-129.425675
16,-1.914992,4.437677,15.287819,33.860583,65.400745,117.968009,202.672845
17,7.185899,9.100891,4.663215,-10.624604,-44.485187,-109.885932,-227.853941
18,-10.592444,-17.778343,-26.879234,-31.542449,-20.917845,23.567342,133.453273
19,23.303613,33.896056,51.674399,78.553633,110.096082,131.013927,107.446586
20,-24.886479,-48.190091,-82.086148,-133.760547,-212.314180,-322.410263,-453.424190
21,15.363723,40.250202,88.440294,170.526441,304.286988,516.601168,839.011430
22,4.703768,-10.659955,-50.910157,-139.350451,-309.876892,-614.163880,-1130.765047
23,-24.499368,-29.203136,-18.543181,32.366977,171.717428,481.594320,1095.758199
24,-25.204380,-0.705012,28.498123,47.041304,14.674327,-157.043101,-638.637420
25,158.930344,184.134724,184.839737,156.341613,109.300309,94.625982,251.669082
26,-104.308268,-263.238612,-447.373336,-632.213073,-788.554686,-897.854995,-992.480977
27,-99.069923,5.238345,268.476957,715.850293,1348.063365,2136.618051,3034.473046
28,154.226938,253.296862,248.058517,-20.418439,-736.268732,-2084.332098,-4220.950149
29,-268.760069,-422.987007,-676.283869,-924.342386,-903.923947,-167.655215,1916.676883
30,587.405784,856.165853,1279.152861,1955.436730,2879.779116,3783.703063,3951.358278
31,-563.648720,-1151.054504,-2007.220357,-3286.373218,-5241.809948,-8121.589064,-11905.292127
32,-301.178053,262.470667,1413.525171,3420.745528,6707.118746,11948.928694,20070.517757
33,1497.811542,1798.989595,1536.518929,122.993758,-3297.751770,-10004.870516,-21953.799210
34,-73.110080,-1570.921621,-3369.911217,-4906.430145,-5029.423903,-1731.672133,8273.198384
35,-3031.718347,-2958.608268,-1387.686646,1982.224570,6888.654715,11918.078618,13649.750751
36,272.512316,3304.230663,6262.838931,7650.525577,5668.301007,-1220.353709,-13138.432327
37,1880.739457,1608.227141,-1696.003522,-7958.842453,-15609.368030,-21277.669037,-20057.315328
38,-879.602930,-2760.342387,-4368.569527,-2672.566005,5286.276448,20895.644478,42173.313515
39,5286.739050,6166.341979,8926.684366,13295.253893,15967.819898,10681.543450,-10214.101028
40,-4616.430705,-9903.169755,-16069.511735,-24996.196100,-38291.449994,-54259.269892,-64940.813342
41,-12484.966471,-7868.535766,2034.633990,18104.145724,43100.341825,81391.791818,135651.061711
42,32111.214798,44596.181269,52464.717035,50430.083045,32325.937321,-10774.404504,-92166.196322
43,-26142.744583,-58253.959381,-102850.140651,-155314.857685,-205744.940731,-238070.878052,-227296.473548
44,22829.431869,48972.176452,107226.135833,210076.276484,365391.134169,571136.074900,809206.952951
45,-73481.880049,-96311.311917,-145283.488369,-252509.624202,-462585.900685,-827977.034854,-1399113.109754
46,174055.926069,247537.806118,343849.118036,489132.606405,741642.230607,1204228.131292,2032205.166147
47,55289.994513,-118765.931557,-366303.737675,-710152.855711,-1199285.462116,-1940927.692723,-3145155.824015
48,-294406.373180,-349696.367693,-230930.436137,135373.301538,845526.157249,2044811.619365,3985739.312088
49,-46218.970800,248187.402381,597883.770074,828814.206210,693440.904672,-152085.252577,-2196896.871942
50,135513.403495,181732.374294,-66455.028086,-664338.798160,-1493153.004370,-2186593.909042,-2034508.656465
51,-343274.140012,-478787.543507,-660519.917802,-594064.889715,70273.908445,1563426.912815,3750020.821857
52,903708.505379,1246982.645392,1725770.188899,2386290.106700,2980354.996416,2910081.087971,1346654.175156
53,353748.871974,-549959.633406,-1796942.278797,-3522712.467696,-5909002.574397,-8889357.570812,-11799438.658784
54,-2496937.411680,-2850686.283654,-2300726.650248,-503784.371451,3018928.096245,8927930.670642,17817288.241454
55,1042743.538072,3539680.949752,6390367.233405,8691093.883653,9194878.255104,6175950.158859,-2751980.511783
56,1162082.640725,119339.102653,-3420341.847099,-9810709.080504,-18501802.964158,-27696681.219262,-33872631.378121
57,-3804707.276957,-4966789.917681,-5086129.020334,-1665787.173235,8144921.907269,26646724.871427,54343406.090689
58,2413057.001816,6217764.278773,11184554.196454,16270683.216788,17936470.390023,9791548.482755,-16855176.388672
59,3199556.010543,786499.008727,-5431265.270047,-16615819.466501,-32886502.683289,-50822973.073313,-60614521.556067
60,2353710.180782,-845845.829761,-1632344.838487,3798920.431559,20414739.898060,53301242.581349,104124215.654662
61,-12423592.978786,-14777303.159568,-13931457.329808,-12299112.491320,-16098032.922880,-36512772.820939,-89814015.402289
62,20852752.093630,33276345.072416,48053648.231984,61985105.561792,74284218.053112,90382250.975992,126895023.796931
