r,d0,d1,d2,d3,d4,d5,d6
1,-0.045164,,,,,,
2,-0.922421,-0.877258,,,,,
3,-0.286133,0.636288,1.513546,,,,
4,-1.265998,-0.979865,-1.616153,-3.129699,,,
5,-0.085376,1.180622,2.160487,3.776640,6.906339,,
6,-1.329576,-1.244200,-2.424823,-4.585310,-8.361951,-15.268290,
7,-1.107880,0.221696,1.465897,3.890719,8.476030,16.837981,32.106271
8,-1.470517,-0.362637,-0.584333,-2.050230,-5.940949,-14.416979,-31.254960
9,-0.208052,1.262465,1.625102,2.209435,4.259665,10.200614,24.617594
10,-2.356923,-2.148871,-3.411336,-5.036438,-7.245874,-11.505539,-21.706153
11,-3.036376,-0.679453,1.469417,4.880753,9.917191,17.163065,28.668603
12,-0.808088,2.228288,2.907741,1.438324,-3.442429,-13.359620,-30.522685
13,-6.829354,-6.021266,-8.249554,-11.157295,-12.595619,-9.153189,4.206431
14,-0.136513,6.692842,12.714108,20.963661,32.120956,44.716574,53.869764
15,-12.355661,-12.219149,-18.911990,-31.626098,-52.589759,-84.710715,-129.427289
16,-9.742714,2.612948,14.832096,33.744087,65.370184,117.959943,202.670658
17,-3.080383,6.662331,4.049383,-10.782713,-44.526800,-109.896984,-227.856927
18,-24.125987,-21.045604,-27.707934,-31.757318,-20.974604,23.552195,133.449179
19,5.381712,29.507699,50.553303,78.261238,110.018555,130.993160,107.440964
20,-48.716252,-54.097964,-83.605663,-134.158966,-212.420204,-322.438759,-453.431918
21,-16.437012,32.279240,86.377204,169.982867,304.141833,516.562037,839.000795
22,-37.873525,-21.436514,-53.715754,-140.092957,-310.075824,-614.217657,-1130.779693
23,-81.674215,-43.800689,-22.364176,31.351578,171.444535,481.520359,1095.738016
24,-102.187862,-20.513647,23.287042,45.651218,14.299640,-157.144895,-638.665253
25,55.022174,157.210036,177.723683,154.436641,108.785423,94.485782,251.630677
26,-244.870263,-299.892437,-457.102473,-634.826156,-789.262796,-898.048219,-992.534001
27,-289.602547,-44.732284,255.160154,712.262627,1347.088782,2136.351579,3034.399798
28,-104.523076,185.079470,229.811754,-25.348400,-737.611026,-2084.699809,-4221.051387
29,-620.754199,-516.231123,-701.310593,-931.122347,-905.773948,-168.162921,1916.536887
30,107.809464,728.563663,1244.794786,1946.105379,2877.227726,3783.001674,3951.164595
31,-1218.057518,-1325.866982,-2054.430645,-3299.225431,-5245.330810,-8122.558536,-11905.560210
32,-1195.323391,22.734127,1348.601109,3403.031754,6702.257185,11947.587995,20070.146531
33,274.575298,1469.898690,1447.164563,98.563454,-3304.468301,-10006.725486,-21954.313482
34,-1748.506127,-2023.081425,-3492.980115,-4940.144678,-5038.708132,-1734.239831,8272.485655
35,-5328.897715,-3580.391588,-1557.310163,1935.669953,6875.814630,11914.522762,13648.762593
36,-2880.394990,2448.502725,6028.894313,7586.204476,5650.534523,-1225.280107,-13139.802869
37,-2450.755975,429.639015,-2018.863710,-8047.758024,-15633.962499,-21284.497023,-20059.216916
38,-6835.524023,-4384.768049,-4814.407064,-2795.543353,5252.214670,20886.177170,42170.674193
39,-2909.616183,3925.907841,8310.675889,13125.082953,15920.626306,10668.411636,-10217.765534
40,-15904.814454,-12995.198271,-16921.106112,-25231.782001,-38356.864954,-54277.491260,-64945.902896
41,-28043.266340,-12138.451886,856.746385,17777.852497,43009.634498,81366.499452,135643.990713
42,10652.991449,38696.257789,50834.709675,49977.963290,32200.110794,-10809.523705,-92176.023157
43,-55757.624992,-66410.616441,-105106.874230,-155941.583905,-205919.547196,-238119.657989,-227310.134285
44,-18067.947615,37689.677378,104100.293818,209207.168048,365148.751953,571068.299149,809187.957138
45,-129993.288738,-111925.341124,-149615.018501,-253715.312320,-462922.480368,-828071.232321,-1399139.531470
46,95925.732425,225919.021163,337844.362287,487459.380788,741174.693108,1204097.173476,2032168.405796
47,-52786.618368,-148712.350793,-374631.371957,-712475.734244,-1199935.115032,-1941109.808140,-3145206.981615
48,-443982.897780,-391196.279412,-242483.928619,132147.443338,844623.177582,2044558.292614,3985668.100754
49,-253330.214331,190652.683450,581848.962862,824332.891480,692185.448142,-152437.729440,-2196996.022054
50,-151394.697005,101935.517326,-88717.166124,-670566.128985,-1494899.020466,-2187084.468608,-2034646.739168
51,-740897.488520,-589502.791514,-691438.308840,-602721.142717,67844.986269,1562744.006734,3749828.475342
52,352415.442327,1093312.930847,1682815.722361,2374254.031202,2976975.173918,2909130.187650,1346386.180915
53,-410908.644109,-763324.086436,-1856637.017283,-3539452.739644,-5913706.770846,-8890681.944764,-11799812.132414
54,-3557943.538812,-3147034.894703,-2383710.808266,-527073.790983,3012378.948661,8926085.719507,17816767.664271
55,-430004.645518,3127938.893293,6274973.787996,8658684.596262,9185758.387245,6173379.438585,-2752706.280922
56,-882912.960136,-452908.314617,-3580847.207910,-9855820.995906,-18514505.592168,-27700263.979414,-33873643.417998
57,-6645264.457220,-5762351.497084,-5309443.182467,-1728595.974556,8127225.021350,26641730.613519,54341994.592932
58,-1533844.857209,5111419.600010,10873771.097094,16183214.279561,17911810.254117,9784585.232767,-16857145.380752
59,-2286313.127837,-752468.270628,-5863887.870638,-16737658.967732,-32920873.247293,-50832683.501409,-60617268.734176
60,-5273502.929846,-2987189.802009,-2234721.531382,3629166.339256,20366825.306988,53287698.554280,104120382.055690
61,-23031090.053865,-17757587.124019,-14770397.322009,-12535675.790627,-16164842.129883,-36531667.436871,-89819365.991151
62,6096294.816507,29127384.870372,46884971.994391,61655369.316400,74191045.107028,90355887.236911,126887554.673782
