r,d0,d1,d2,d3,d4,d5,d6
1,-0.163589,,,,,,
2,-1.557649,-1.394061,,,,,
3,-1.405649,0.152000,1.546061,,,,
4,-0.779552,0.626097,0.474097,-1.071963,,,
5,-1.251258,-0.471706,-1.097803,-1.571901,-0.499938,,
6,-3.344209,-2.092952,-1.621246,-0.523442,1.048459,1.548396,
7,-3.764020,-0.419811,1.673141,3.294386,3.817828,2.769370,1.220974
8,-5.300564,-1.536544,-1.116733,-2.789874,-6.084260,-9.902088,-12.671458
9,-12.012848,-6.712284,-5.175740,-4.059007,-1.269133,4.815127,14.717215
10,1.233095,13.245943,19.958226,25.133966,29.192973,30.462106,25.646979
11,-29.263126,-30.496221,-43.742163,-63.700390,-88.834356,-118.027328,-148.489434
12,-5.058883,24.204243,54.700464,98.442628,162.143017,250.977373,369.004701
13,-79.763849,-74.704966,-98.909210,-153.609674,-252.052301,-414.195319,-665.172691
14,-56.426758,23.337092,98.042058,196.951268,350.560941,602.613243,1016.808561
15,-119.374992,-62.948234,-86.285325,-184.327383,-381.278651,-731.839593,-1334.452835
16,-219.497773,-100.122781,-37.174547,49.110778,233.438161,614.716813,1346.556405
17,-98.007024,121.490749,221.613530,258.788078,209.677300,-23.760862,-638.477674
18,-321.052905,-223.045881,-344.536630,-566.150161,-824.938238,-1034.615538,-1010.854676
19,-931.224058,-610.171153,-387.125272,-42.588641,523.561519,1348.499758,2383.115295
20,-1618.565878,-687.341820,-77.170667,309.954604,352.543246,-171.018274,-1519.518031
21,-1530.334984,88.230895,775.572715,852.743382,542.788778,190.245532,361.263806
22,-3788.288660,-2257.953676,-2346.184571,-3121.757285,-3974.500667,-4517.289445,-4707.534977
23,-1249.012042,2539.276617,4797.230293,7143.414863,10265.172149,14239.672816,18756.962261
24,-14761.489901,-13512.477858,-16051.754475,-20848.984768,-27992.399632,-38257.571780,-52497.244597
25,-6539.685665,8221.804236,21734.282095,37786.036570,58635.021338,86627.420970,124884.992750
26,-21153.637222,-14613.951557,-22835.755793,-44570.037888,-82356.074458,-140991.095796,-227618.516766
27,-60727.577959,-39573.940738,-24959.989180,-2124.233387,42445.804501,124801.878959,265792.974755
28,-76667.210505,-15939.632546,23634.308192,48594.297372,50718.530759,8272.726259,-116529.152700
29,-55892.405229,20774.805276,36714.437822,13080.129630,-35514.167742,-86232.698501,-94505.424760
30,-299256.722442,-243364.317213,-264139.122489,-300853.560312,-313933.689942,-278419.522200,-192186.823699
31,115355.702930,414612.425372,657976.742585,922115.865075,1222969.425386,1536903.115328,1815322.637529
32,-1035990.108527,-1151345.811457,-1565958.236830,-2223934.979415,-3146050.844489,-4369020.269876,-5905923.385204
33,-1108455.866035,-72465.757508,1078880.053950,2644838.290779,4868773.270194,8014824.114684,12383844.384559
34,-633153.968656,475301.897379,547767.654887,-531112.399063,-3175950.689842,-8044723.960037,-16059548.074720
35,-3446829.744121,-2813675.775465,-3288977.672845,-3836745.327731,-3305632.928668,-129682.238826,7915041.721211
36,-4012268.114955,-565438.370834,2248237.404631,5537215.077476,9373960.405207,12679593.333875,12809275.572701
37,-7503450.062876,-3491181.947921,-2925743.577087,-5173980.981718,-10711196.059194,-20085156.464401,-32764749.798276
38,-3061233.639811,4442216.423065,7933398.370986,10859141.948073,16033122.929791,26744318.988985,46829475.453386
39,-39472246.091082,-36411012.451270,-40853228.874335,-48786627.245321,-59645769.193394,-75678892.123185,-102423211.112170
40,-20846523.285948,18625722.805134,55036735.256404,95889964.130740,144676591.376061,204322360.569455,280001252.692640
41,-45907537.528725,-25061014.242777,-43686737.047911,-98723472.304315,-194613436.435055,-339290027.811116,-543612388.380571
