r,d0,d1,d2,d3,d4,d5,d6
1,-0.004677,,,,,,
2,-0.232625,-0.227948,,,,,
3,-0.161873,0.070752,0.298701,,,,
4,0.646795,0.808668,0.737915,0.439214,,,
5,0.554284,-0.092511,-0.901178,-1.639094,-2.078308,,
6,-0.914638,-1.468922,-1.376411,-0.475233,1.163861,3.242169,
7,-0.353620,0.561018,2.029939,3.406350,3.881583,2.717722,-0.524447
8,-0.361700,-0.008080,-0.569098,-2.599037,-6.005387,-9.886970,-12.604692
9,-4.686745,-4.325045,-4.316964,-3.747867,-1.148830,4.856557,14.743528
10,12.308870,16.995615,21.320660,25.637624,29.385491,30.534321,25.677764
11,-12.259147,-24.568017,-41.563632,-62.884291,-88.521915,-117.907406,-148.441727
12,21.378102,33.637249,58.205265,99.768897,162.653189,251.175104,369.082511
13,-38.226531,-59.604633,-93.241882,-151.447148,-251.216045,-413.869233,-665.044338
14,9.415662,47.642193,107.246827,200.488709,351.935856,603.151901,1017.021135
15,-14.218823,-23.634485,-71.276678,-178.523505,-379.012214,-730.948070,-1334.099972
16,-50.470575,-36.251752,-12.617267,58.659412,237.182917,616.195131,1347.143201
17,175.197554,225.668129,261.919880,274.537147,215.877735,-21.305182,-637.500313
18,122.670826,-52.526728,-278.194856,-540.114736,-814.651883,-1030.529618,-1009.224436
19,-207.508812,-330.179639,-277.652911,0.541945,540.656682,1355.308565,2385.838183
20,-433.798657,-226.289845,103.889793,381.542704,381.000759,-159.655923,-1514.964488
21,415.576499,849.375156,1075.665002,971.775208,590.232504,209.231745,368.887668
22,-582.900529,-998.477028,-1847.852185,-2923.517186,-3895.292394,-4485.524898,-4694.756644
23,4044.837689,4627.738218,5626.215246,7474.067431,10397.584617,14292.877011,18778.401910
24,-5997.918070,-10042.755758,-14670.493977,-20296.709223,-27770.776654,-38168.361271,-52461.238282
25,7998.502530,13996.420600,24039.176358,38709.670335,59006.379558,86777.156211,124945.517482
26,3010.614647,-4987.887883,-18984.308483,-43023.484841,-81733.155176,-140739.534734,-227516.690945
27,-20493.333362,-23503.948009,-18516.060126,468.248357,43491.733198,125224.888374,265964.423108
28,-9568.729146,10924.604216,34428.552225,52944.612351,52476.363994,8984.630796,-116240.257578
29,56171.758021,65740.487166,54815.882950,20387.330725,-32557.281627,-85033.645621,-94018.276417
30,-111840.275953,-168012.033974,-233752.521140,-288568.404091,-308955.734815,-276398.453188,-191364.807567
31,429183.192764,541023.468717,709035.502691,942788.023832,1231356.427922,1540312.162737,1816710.615926
32,-509879.543191,-939062.735955,-1480086.204673,-2189121.707364,-3131909.731196,-4363266.159118,-5903578.321856
33,-225517.244691,284362.298501,1223425.034456,2703511.239129,4892632.946493,8024542.677688,12387808.836807
34,850114.770602,1075632.015293,791269.716792,-432155.317664,-3135666.556792,-8028299.503285,-16052842.180973
35,-952713.987922,-1802828.758523,-2878460.773816,-3669730.490608,-3237575.172944,-101908.616152,7926390.887133
36,185275.175713,1137989.163634,2940817.922158,5819278.695974,9489009.186582,12726584.359527,12828492.975679
37,-433238.677690,-618513.853402,-1756503.017037,-4697320.939195,-10516599.635169,-20005608.821751,-32732193.181278
38,8856871.389894,9290110.067584,9908623.920986,11665126.938023,16362447.877218,26879047.512387,46884656.334138
39,-19367413.908687,-28224285.298581,-37514395.366164,-47423019.287150,-59088146.225173,-75450594.102391,-102329641.614778
40,13092131.905129,32459545.813815,60683831.112396,98198226.478560,145621245.765711,204709391.990884,280159986.093275
41,11421375.770893,-1670756.134235,-34130301.948051,-94814133.060447,-193012359.539007,-338633605.304718,-543342997.295602
