closed form:  b_max/h0 = pi^2 * eps^2 / (64 * N * epsp^2 * logP)
at epsp = eps:          = 0.1542 / (N * logP)

     N   logP    eps      lam        b_max             h0      ratio
     1      1    0.5        1         12.2             79    0.15421
     1      1    0.5      100     1.22e+03        7.9e+03    0.15421
     1      1    0.5    1e+06     1.22e+07        7.9e+07    0.15421
     1      1    0.1        1          304       1.97e+03    0.15421
     1      1    0.1      100     3.04e+04       1.97e+05    0.15421
     1      1    0.1    1e+06     3.04e+08       1.97e+09    0.15421
     1     10    0.5        1         12.2            790    0.01542
     1     10    0.5      100     1.22e+03        7.9e+04    0.01542
     1     10    0.5    1e+06     1.22e+07        7.9e+08    0.01542
     1     10    0.1        1          304       1.97e+04    0.01542
     1     10    0.1      100     3.04e+04       1.97e+06    0.01542
     1     10    0.1    1e+06     3.04e+08       1.97e+10    0.01542
    10      1    0.5        1         1.22             79    0.01542
    10      1    0.5      100          122        7.9e+03    0.01542
    10      1    0.5    1e+06     1.22e+06        7.9e+07    0.01542
    10      1    0.1        1         30.4       1.97e+03    0.01542
    10      1    0.1      100     3.04e+03       1.97e+05    0.01542
    10      1    0.1    1e+06     3.04e+07       1.97e+09    0.01542
    10     10    0.5        1         1.22            790    0.00154
    10     10    0.5      100          122        7.9e+04    0.00154
    10     10    0.5    1e+06     1.22e+06        7.9e+08    0.00154
    10     10    0.1        1         30.4       1.97e+04    0.00154
    10     10    0.1      100     3.04e+03       1.97e+06    0.00154
    10     10    0.1    1e+06     3.04e+07       1.97e+10    0.00154
   100      1    0.5        1        0.122             79    0.00154
   100      1    0.5      100         12.2        7.9e+03    0.00154
   100      1    0.5    1e+06     1.22e+05        7.9e+07    0.00154
   100      1    0.1        1         3.04       1.97e+03    0.00154
   100      1    0.1      100          304       1.97e+05    0.00154
   100      1    0.1    1e+06     3.04e+06       1.97e+09    0.00154
   100     10    0.5        1        0.122            790    0.00015
   100     10    0.5      100         12.2        7.9e+04    0.00015
   100     10    0.5    1e+06     1.22e+05        7.9e+08    0.00015
   100     10    0.1        1         3.04       1.97e+04    0.00015
   100     10    0.1      100          304       1.97e+06    0.00015
   100     10    0.1    1e+06     3.04e+06       1.97e+10    0.00015

lam cancels: b_max and h0 are both linear in lam, so no window width helps.
eps cancels at epsp = eps. The ratio is pi^2/(64 N logP), under 1 for every
N >= 1 and logP >= 1: the range must be shorter than the threshold it starts at.
