target height notes: gamma_500 = 811.184, gamma_600 = 939.024
F2-far cap on lam: lam <= gamma sqrt(2)/pi, so lam <= 450 at T=1e3 and larger at larger T

  eps       T   delta            h    lam          L=2h            binding
  0.5   1e+03     1.0          912      1          1824                  -
  0.5   1e+03     0.3          912      1          1824                  -
  0.5   1e+03     0.1         7693      2         15386                  -
  0.5   1e+03    0.03       291468      8        582936                  -
  0.5   1e+03    0.01      9324929     32      18649858                  -
  0.5   1e+06     1.0         3014      2          6028                  -
  0.5   1e+06     0.3         3014      2          6028                  -
  0.5   1e+06     0.1        12215      4         24430                  -
  0.5   1e+06    0.03       317452      8        634904                  -
  0.5   1e+06    0.01     10156859     32      20313718                  -
  0.5   1e+12     1.0         5232      2         10464                  -
  0.5   1e+12     0.3         5232      2         10464                  -
  0.5   1e+12     0.1        13406      4         26812                  -
  0.5   1e+12    0.03       348612      8        697224                  -
  0.5   1e+12    0.01     11154509     32      22309018                  -
 0.25   1e+03     1.0         3798      1          7596                  -
 0.25   1e+03     0.3         3798      1          7596                  -
 0.25   1e+03     0.1         3815      1          7630                  -
 0.25   1e+03    0.03        73277      2        146554                  -
 0.25   1e+03    0.01      2332235      8       4664470                  -
 0.25   1e+06     1.0         6028      1         12056                  -
 0.25   1e+06     0.3         6028      1         12056                  -
 0.25   1e+06     0.1         6028      1         12056                  -
 0.25   1e+06    0.03        79793      2        159586                  -
 0.25   1e+06    0.01      2540253      8       5080506                  -
 0.25   1e+12     1.0        10463      1         20926                  -
 0.25   1e+12     0.3        10463      1         20926                  -
 0.25   1e+12     0.1        10463      1         20926                  -
 0.25   1e+12    0.03        87607      2        175214                  -
 0.25   1e+12    0.01      2789708      8       5579416                  -
  0.1   1e+03     1.0        25447      1         50894                  -
  0.1   1e+03     0.3        25447      1         50894                  -
  0.1   1e+03     0.1        25447      1         50894                  -
  0.1   1e+03    0.03        29584      1         59168                  -
  0.1   1e+03    0.01       321778      1        643556                  -
  0.1   1e+06     1.0        39297      1         78594                  -
  0.1   1e+06     0.3        39297      1         78594                  -
  0.1   1e+06     0.1        39297      1         78594                  -
  0.1   1e+06    0.03        39457      1         78914                  -
  0.1   1e+06    0.01       350422      1        700844                  -
  0.1   1e+12     1.0        66858      1        133716                  -
  0.1   1e+12     0.3        66858      1        133716                  -
  0.1   1e+12     0.1        66858      1        133716                  -
  0.1   1e+12    0.03        66860      1        133720                  -
  0.1   1e+12    0.01       384772      1        769544                  -

closed: 45 / 45
